DGP,Algorithm,Order_0,Order_1,Order_2
TruncatedNormal,FISTA,47.0,804.0,309.0
TruncatedNormal,ProximalAdaGrad,257.0,1776.0,170.0
TruncatedNormal,ProximalNewton,51.0,412.0,112.0
TruncatedNormal,ProximalNewtonLBFGS,109.0,576.0,25.0
TruncatedNormal,CVXPY,52.0,2749.0,3189.0
TruncatedGMMSymmetricThree,FISTA,71.0,1337.0,2190.0
TruncatedGMMSymmetricThree,ProximalAdaGrad,295.0,2352.0,1939.0
TruncatedGMMSymmetricThree,ProximalNewton,115.0,1770.0,1901.0
TruncatedGMMSymmetricThree,ProximalNewtonLBFGS,155.0,1786.0,1617.0
TruncatedGMMSymmetricThree,CVXPY,78.0,2728.0,3200.0
TruncatedGMMAsymmetricThree,FISTA,44.0,649.0,1693.0
TruncatedGMMAsymmetricThree,ProximalAdaGrad,262.0,1672.0,1854.0
TruncatedGMMAsymmetricThree,ProximalNewton,43.0,1129.0,1997.0
TruncatedGMMAsymmetricThree,ProximalNewtonLBFGS,106.0,1082.0,1301.0
TruncatedGMMAsymmetricThree,CVXPY,49.0,2141.0,3127.0
TruncatedGMMFiveSpikes,FISTA,37.0,997.0,2887.0
TruncatedGMMFiveSpikes,ProximalAdaGrad,81.0,2359.0,3202.0
TruncatedGMMFiveSpikes,ProximalNewton,37.0,1858.0,3135.0
TruncatedGMMFiveSpikes,ProximalNewtonLBFGS,80.0,1213.0,3177.0
TruncatedGMMFiveSpikes,CVXPY,39.0,3093.0,3200.0
StepFunction,FISTA,7.0,104.0,232.0
StepFunction,ProximalAdaGrad,22.0,757.0,501.0
StepFunction,ProximalNewton,7.0,299.0,363.0
StepFunction,ProximalNewtonLBFGS,8.0,691.0,718.0
StepFunction,CVXPY,34.0,1859.0,1344.0
Sinusoidal,FISTA,30.0,74.0,106.0
Sinusoidal,ProximalAdaGrad,150.0,575.0,840.0
Sinusoidal,ProximalNewton,27.0,123.0,121.0
Sinusoidal,ProximalNewtonLBFGS,30.0,392.0,475.0
Sinusoidal,CVXPY,39.0,342.0,2887.0
