2025-08-31 19:32:47,594 - ProximalAdaGrad: lam=15, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-08-31 19:32:47,615 - Iter   0: obj=0.000000, change=2.03e-02, α=0.000, ‖θ[1:]‖₁=0.083, h_range=[1.00e-02, 2.83e+01], num_knots=3012
2025-08-31 19:32:48,959 - Iter 100: obj=-33.436367, change=2.70e-04, α=0.000, ‖θ[1:]‖₁=0.799, h_range=[1.00e-08, 2.83e+01], num_knots=2017
2025-08-31 19:32:50,204 - Iter 200: obj=-35.067429, change=1.18e-04, α=0.000, ‖θ[1:]‖₁=0.845, h_range=[1.00e-08, 2.83e+01], num_knots=1485
2025-08-31 19:32:51,366 - Iter 300: obj=-35.954357, change=7.72e-05, α=0.000, ‖θ[1:]‖₁=0.872, h_range=[1.00e-08, 2.83e+01], num_knots=1206
2025-08-31 19:32:52,430 - Iter 400: obj=-36.552012, change=4.66e-05, α=0.000, ‖θ[1:]‖₁=0.892, h_range=[1.00e-08, 2.83e+01], num_knots=1045
2025-08-31 19:32:53,466 - Iter 500: obj=-36.996043, change=3.50e-05, α=0.000, ‖θ[1:]‖₁=0.907, h_range=[1.00e-08, 2.83e+01], num_knots=920
2025-08-31 19:32:54,731 - Iter 600: obj=-37.344003, change=3.09e-05, α=0.000, ‖θ[1:]‖₁=0.920, h_range=[1.00e-08, 2.83e+01], num_knots=819
2025-08-31 19:32:55,688 - Iter 700: obj=-37.628613, change=1.94e-05, α=0.000, ‖θ[1:]‖₁=0.930, h_range=[1.00e-08, 2.83e+01], num_knots=755
2025-08-31 19:32:56,763 - Iter 800: obj=-37.867806, change=1.70e-05, α=0.000, ‖θ[1:]‖₁=0.939, h_range=[1.00e-08, 2.83e+01], num_knots=689
2025-08-31 19:32:57,848 - Iter 900: obj=-38.072200, change=1.60e-05, α=0.000, ‖θ[1:]‖₁=0.947, h_range=[1.00e-08, 2.83e+01], num_knots=638
2025-08-31 19:32:58,825 - Iter 1000: obj=-38.250512, change=1.79e-05, α=0.000, ‖θ[1:]‖₁=0.954, h_range=[1.00e-08, 2.83e+01], num_knots=591
2025-08-31 19:32:59,824 - Iter 1100: obj=-38.407521, change=1.36e-05, α=0.000, ‖θ[1:]‖₁=0.960, h_range=[1.00e-08, 2.83e+01], num_knots=556
2025-08-31 19:33:00,881 - Iter 1200: obj=-38.547226, change=1.49e-05, α=0.000, ‖θ[1:]‖₁=0.967, h_range=[1.00e-08, 2.83e+01], num_knots=526
2025-08-31 19:33:01,897 - Iter 1300: obj=-38.672420, change=1.35e-05, α=0.000, ‖θ[1:]‖₁=0.972, h_range=[1.00e-08, 2.83e+01], num_knots=506
2025-08-31 19:33:02,984 - Iter 1400: obj=-38.786462, change=7.81e-06, α=0.000, ‖θ[1:]‖₁=0.977, h_range=[1.00e-08, 2.83e+01], num_knots=485
2025-08-31 19:33:04,004 - Iter 1500: obj=-38.892407, change=5.59e-06, α=0.000, ‖θ[1:]‖₁=0.981, h_range=[1.00e-08, 2.83e+01], num_knots=470
2025-08-31 19:33:05,074 - Iter 1600: obj=-38.990160, change=6.09e-06, α=0.000, ‖θ[1:]‖₁=0.985, h_range=[1.00e-08, 2.83e+01], num_knots=446
2025-08-31 19:33:06,116 - Iter 1700: obj=-39.079783, change=6.61e-06, α=0.000, ‖θ[1:]‖₁=0.989, h_range=[1.00e-08, 2.83e+01], num_knots=432
2025-08-31 19:33:07,138 - Iter 1800: obj=-39.163157, change=9.47e-06, α=0.000, ‖θ[1:]‖₁=0.993, h_range=[1.00e-08, 2.83e+01], num_knots=414
2025-08-31 19:33:08,597 - Iter 1900: obj=-39.240328, change=8.04e-06, α=0.000, ‖θ[1:]‖₁=0.997, h_range=[1.00e-08, 2.83e+01], num_knots=399
2025-08-31 19:33:09,678 - Iter 2000: obj=-39.312665, change=4.99e-06, α=0.000, ‖θ[1:]‖₁=1.001, h_range=[1.00e-08, 2.83e+01], num_knots=388
2025-08-31 19:33:10,797 - Iter 2100: obj=-39.381237, change=5.28e-06, α=0.000, ‖θ[1:]‖₁=1.004, h_range=[1.00e-08, 2.83e+01], num_knots=377
2025-08-31 19:33:11,843 - Iter 2200: obj=-39.445733, change=4.27e-06, α=0.000, ‖θ[1:]‖₁=1.008, h_range=[1.00e-08, 2.83e+01], num_knots=365
2025-08-31 19:33:12,997 - Iter 2300: obj=-39.506279, change=6.03e-06, α=0.000, ‖θ[1:]‖₁=1.011, h_range=[1.00e-08, 2.83e+01], num_knots=351
2025-08-31 19:33:14,024 - Iter 2400: obj=-39.563505, change=6.29e-06, α=0.000, ‖θ[1:]‖₁=1.014, h_range=[1.00e-08, 2.83e+01], num_knots=345
2025-08-31 19:33:14,996 - Iter 2500: obj=-39.617325, change=4.03e-06, α=0.000, ‖θ[1:]‖₁=1.017, h_range=[1.00e-08, 2.83e+01], num_knots=335
2025-08-31 19:33:16,462 - Iter 2600: obj=-39.668627, change=4.69e-06, α=0.000, ‖θ[1:]‖₁=1.020, h_range=[1.00e-08, 2.83e+01], num_knots=328
2025-08-31 19:33:17,530 - Iter 2700: obj=-39.717495, change=3.52e-06, α=0.000, ‖θ[1:]‖₁=1.023, h_range=[1.00e-08, 2.83e+01], num_knots=321
2025-08-31 19:33:18,753 - Iter 2800: obj=-39.764470, change=3.44e-06, α=0.000, ‖θ[1:]‖₁=1.025, h_range=[1.00e-08, 2.83e+01], num_knots=318
2025-08-31 19:33:19,830 - Iter 2900: obj=-39.810043, change=3.38e-06, α=0.000, ‖θ[1:]‖₁=1.028, h_range=[1.00e-08, 2.83e+01], num_knots=312
2025-08-31 19:33:21,012 - Iter 3000: obj=-39.853588, change=3.31e-06, α=0.000, ‖θ[1:]‖₁=1.030, h_range=[1.00e-08, 2.83e+01], num_knots=304
2025-08-31 19:33:21,994 - Iter 3100: obj=-39.895238, change=3.26e-06, α=0.000, ‖θ[1:]‖₁=1.033, h_range=[1.00e-08, 2.83e+01], num_knots=297
2025-08-31 19:33:23,092 - Iter 3200: obj=-39.935380, change=3.58e-06, α=0.000, ‖θ[1:]‖₁=1.035, h_range=[1.00e-08, 2.83e+01], num_knots=294
2025-08-31 19:33:24,251 - Iter 3300: obj=-39.974038, change=4.57e-06, α=0.000, ‖θ[1:]‖₁=1.038, h_range=[1.00e-08, 2.83e+01], num_knots=284
2025-08-31 19:33:25,385 - Iter 3400: obj=-40.010465, change=6.08e-06, α=0.000, ‖θ[1:]‖₁=1.040, h_range=[1.00e-08, 2.83e+01], num_knots=279
2025-08-31 19:33:26,496 - Iter 3500: obj=-40.045659, change=4.37e-06, α=0.000, ‖θ[1:]‖₁=1.043, h_range=[1.00e-08, 2.83e+01], num_knots=273
2025-08-31 19:33:27,537 - Iter 3600: obj=-40.079439, change=4.02e-06, α=0.000, ‖θ[1:]‖₁=1.045, h_range=[1.00e-08, 2.83e+01], num_knots=269
2025-08-31 19:33:28,600 - Iter 3700: obj=-40.111877, change=5.42e-06, α=0.000, ‖θ[1:]‖₁=1.048, h_range=[1.00e-08, 2.83e+01], num_knots=262
2025-08-31 19:33:29,778 - Iter 3800: obj=-40.142819, change=4.01e-06, α=0.000, ‖θ[1:]‖₁=1.050, h_range=[1.00e-08, 2.83e+01], num_knots=258
2025-08-31 19:33:30,906 - Iter 3900: obj=-40.172852, change=2.90e-06, α=0.000, ‖θ[1:]‖₁=1.052, h_range=[1.00e-08, 2.83e+01], num_knots=255
2025-08-31 19:33:32,023 - Iter 4000: obj=-40.202102, change=3.35e-06, α=0.000, ‖θ[1:]‖₁=1.054, h_range=[1.00e-08, 2.83e+01], num_knots=250
2025-08-31 19:33:33,119 - Iter 4100: obj=-40.230734, change=2.84e-06, α=0.000, ‖θ[1:]‖₁=1.056, h_range=[1.00e-08, 2.83e+01], num_knots=250
2025-08-31 19:33:34,249 - Iter 4200: obj=-40.258727, change=3.26e-06, α=0.000, ‖θ[1:]‖₁=1.058, h_range=[1.00e-08, 2.83e+01], num_knots=246
2025-08-31 19:33:35,358 - Iter 4300: obj=-40.285521, change=3.28e-06, α=0.000, ‖θ[1:]‖₁=1.060, h_range=[1.00e-08, 2.83e+01], num_knots=241
2025-08-31 19:33:36,492 - Iter 4400: obj=-40.311213, change=2.76e-06, α=0.000, ‖θ[1:]‖₁=1.061, h_range=[1.00e-08, 2.83e+01], num_knots=239
2025-08-31 19:33:37,558 - Iter 4500: obj=-40.336440, change=2.73e-06, α=0.000, ‖θ[1:]‖₁=1.063, h_range=[1.00e-08, 2.83e+01], num_knots=236
2025-08-31 19:33:38,577 - Iter 4600: obj=-40.360961, change=2.70e-06, α=0.000, ‖θ[1:]‖₁=1.065, h_range=[1.00e-08, 2.83e+01], num_knots=233
