2025-08-31 19:46:56,463 - ProximalAdaGrad: lam=0.5, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-08-31 19:46:56,490 - Iter   0: obj=0.000000, change=2.94e-02, α=0.000, ‖θ[1:]‖₁=0.317, h_range=[1.00e-02, 1.63e+01], num_knots=3146
2025-08-31 19:46:57,622 - Iter 100: obj=-38.333888, change=3.43e-04, α=0.000, ‖θ[1:]‖₁=3.819, h_range=[1.00e-08, 1.53e+01], num_knots=2918
2025-08-31 19:46:58,912 - Iter 200: obj=-38.946798, change=1.39e-04, α=0.000, ‖θ[1:]‖₁=3.829, h_range=[1.00e-08, 1.52e+01], num_knots=2831
2025-08-31 19:47:00,097 - Iter 300: obj=-39.189976, change=8.39e-05, α=0.000, ‖θ[1:]‖₁=3.839, h_range=[1.00e-08, 1.52e+01], num_knots=2791
2025-08-31 19:47:01,195 - Iter 400: obj=-39.347667, change=5.82e-05, α=0.000, ‖θ[1:]‖₁=3.849, h_range=[1.00e-08, 1.52e+01], num_knots=2677
2025-08-31 19:47:02,404 - Iter 500: obj=-39.471500, change=4.48e-05, α=0.000, ‖θ[1:]‖₁=3.860, h_range=[1.00e-08, 1.52e+01], num_knots=2590
2025-08-31 19:47:03,462 - Iter 600: obj=-39.575679, change=3.69e-05, α=0.000, ‖θ[1:]‖₁=3.869, h_range=[1.00e-08, 1.52e+01], num_knots=2539
2025-08-31 19:47:04,439 - Iter 700: obj=-39.666147, change=3.19e-05, α=0.000, ‖θ[1:]‖₁=3.876, h_range=[1.00e-08, 1.52e+01], num_knots=2508
2025-08-31 19:47:05,469 - Iter 800: obj=-39.746049, change=2.80e-05, α=0.000, ‖θ[1:]‖₁=3.881, h_range=[1.00e-08, 1.52e+01], num_knots=2470
2025-08-31 19:47:06,548 - Iter 900: obj=-39.817640, change=2.52e-05, α=0.000, ‖θ[1:]‖₁=3.884, h_range=[1.00e-08, 1.52e+01], num_knots=2436
2025-08-31 19:47:07,562 - Iter 1000: obj=-39.882345, change=2.32e-05, α=0.000, ‖θ[1:]‖₁=3.887, h_range=[1.00e-08, 1.52e+01], num_knots=2404
2025-08-31 19:47:09,099 - Iter 1100: obj=-39.940228, change=2.11e-05, α=0.000, ‖θ[1:]‖₁=3.892, h_range=[1.00e-08, 1.52e+01], num_knots=2362
2025-08-31 19:47:10,025 - Iter 1200: obj=-39.992639, change=1.93e-05, α=0.000, ‖θ[1:]‖₁=3.896, h_range=[1.00e-08, 1.52e+01], num_knots=2331
2025-08-31 19:47:11,008 - Iter 1300: obj=-40.040258, change=1.74e-05, α=0.000, ‖θ[1:]‖₁=3.900, h_range=[1.00e-08, 1.52e+01], num_knots=2304
2025-08-31 19:47:11,903 - Iter 1400: obj=-40.083008, change=1.67e-05, α=0.000, ‖θ[1:]‖₁=3.904, h_range=[1.00e-08, 1.52e+01], num_knots=2227
2025-08-31 19:47:12,912 - Iter 1500: obj=-40.120794, change=1.49e-05, α=0.000, ‖θ[1:]‖₁=3.907, h_range=[1.00e-08, 1.52e+01], num_knots=2164
2025-08-31 19:47:13,925 - Iter 1600: obj=-40.155505, change=1.37e-05, α=0.000, ‖θ[1:]‖₁=3.909, h_range=[1.00e-08, 1.52e+01], num_knots=2122
2025-08-31 19:47:15,121 - Iter 1700: obj=-40.187092, change=1.30e-05, α=0.000, ‖θ[1:]‖₁=3.910, h_range=[1.00e-08, 1.52e+01], num_knots=2056
2025-08-31 19:47:16,492 - Iter 1800: obj=-40.215670, change=1.17e-05, α=0.000, ‖θ[1:]‖₁=3.912, h_range=[1.00e-08, 1.52e+01], num_knots=2002
2025-08-31 19:47:17,758 - Iter 1900: obj=-40.242321, change=1.07e-05, α=0.000, ‖θ[1:]‖₁=3.911, h_range=[1.00e-08, 1.52e+01], num_knots=1981
2025-08-31 19:47:18,969 - Iter 2000: obj=-40.267487, change=1.06e-05, α=0.000, ‖θ[1:]‖₁=3.911, h_range=[1.00e-08, 1.52e+01], num_knots=1940
2025-08-31 19:47:20,184 - Iter 2100: obj=-40.290865, change=9.38e-06, α=0.000, ‖θ[1:]‖₁=3.911, h_range=[1.00e-08, 1.52e+01], num_knots=1898
2025-08-31 19:47:21,390 - Iter 2200: obj=-40.312540, change=9.73e-06, α=0.000, ‖θ[1:]‖₁=3.911, h_range=[1.00e-08, 1.52e+01], num_knots=1845
2025-08-31 19:47:22,543 - Iter 2300: obj=-40.332532, change=9.16e-06, α=0.000, ‖θ[1:]‖₁=3.911, h_range=[1.00e-08, 1.52e+01], num_knots=1798
2025-08-31 19:47:23,714 - Iter 2400: obj=-40.350962, change=8.65e-06, α=0.000, ‖θ[1:]‖₁=3.912, h_range=[1.00e-08, 1.52e+01], num_knots=1759
2025-08-31 19:47:24,880 - Iter 2500: obj=-40.367556, change=7.69e-06, α=0.000, ‖θ[1:]‖₁=3.913, h_range=[1.00e-08, 1.52e+01], num_knots=1700
2025-08-31 19:47:26,046 - Iter 2600: obj=-40.382626, change=8.12e-06, α=0.000, ‖θ[1:]‖₁=3.915, h_range=[1.00e-08, 1.52e+01], num_knots=1624
2025-08-31 19:47:27,652 - Iter 2700: obj=-40.396162, change=6.83e-06, α=0.000, ‖θ[1:]‖₁=3.916, h_range=[1.00e-08, 1.52e+01], num_knots=1594
2025-08-31 19:47:28,852 - Iter 2800: obj=-40.408835, change=6.26e-06, α=0.000, ‖θ[1:]‖₁=3.917, h_range=[1.00e-08, 1.52e+01], num_knots=1573
2025-08-31 19:47:30,123 - Iter 2900: obj=-40.420466, change=5.88e-06, α=0.000, ‖θ[1:]‖₁=3.918, h_range=[1.00e-08, 1.52e+01], num_knots=1547
2025-08-31 19:47:31,373 - Iter 3000: obj=-40.431324, change=5.55e-06, α=0.000, ‖θ[1:]‖₁=3.919, h_range=[1.00e-08, 1.52e+01], num_knots=1527
2025-08-31 19:47:32,497 - Iter 3100: obj=-40.441509, change=5.00e-06, α=0.000, ‖θ[1:]‖₁=3.920, h_range=[1.00e-08, 1.52e+01], num_knots=1508
2025-08-31 19:47:33,632 - Iter 3200: obj=-40.451029, change=4.83e-06, α=0.000, ‖θ[1:]‖₁=3.921, h_range=[1.00e-08, 1.52e+01], num_knots=1482
2025-08-31 19:47:34,784 - Iter 3300: obj=-40.460016, change=4.61e-06, α=0.000, ‖θ[1:]‖₁=3.923, h_range=[1.00e-08, 1.52e+01], num_knots=1470
2025-08-31 19:47:36,030 - Iter 3400: obj=-40.468485, change=4.33e-06, α=0.000, ‖θ[1:]‖₁=3.924, h_range=[1.00e-08, 1.52e+01], num_knots=1456
2025-08-31 19:47:37,270 - Iter 3500: obj=-40.476602, change=4.29e-06, α=0.000, ‖θ[1:]‖₁=3.925, h_range=[1.00e-08, 1.52e+01], num_knots=1434
2025-08-31 19:47:38,461 - Iter 3600: obj=-40.484262, change=4.46e-06, α=0.000, ‖θ[1:]‖₁=3.927, h_range=[1.00e-08, 1.52e+01], num_knots=1415
2025-08-31 19:47:39,766 - Iter 3700: obj=-40.491405, change=4.02e-06, α=0.000, ‖θ[1:]‖₁=3.928, h_range=[1.00e-08, 1.52e+01], num_knots=1391
2025-08-31 19:47:40,971 - Iter 3800: obj=-40.498243, change=3.63e-06, α=0.000, ‖θ[1:]‖₁=3.930, h_range=[1.00e-08, 1.52e+01], num_knots=1378
2025-08-31 19:47:42,139 - Iter 3900: obj=-40.504810, change=3.53e-06, α=0.000, ‖θ[1:]‖₁=3.931, h_range=[1.00e-08, 1.52e+01], num_knots=1364
2025-08-31 19:47:43,377 - Iter 4000: obj=-40.511000, change=3.32e-06, α=0.000, ‖θ[1:]‖₁=3.932, h_range=[1.00e-08, 1.52e+01], num_knots=1336
2025-08-31 19:47:44,510 - Iter 4100: obj=-40.516988, change=3.11e-06, α=0.000, ‖θ[1:]‖₁=3.933, h_range=[1.00e-08, 1.52e+01], num_knots=1325
2025-08-31 19:47:45,759 - Iter 4200: obj=-40.522627, change=3.40e-06, α=0.000, ‖θ[1:]‖₁=3.935, h_range=[1.00e-08, 1.52e+01], num_knots=1304
2025-08-31 19:47:47,100 - Iter 4300: obj=-40.527901, change=2.89e-06, α=0.000, ‖θ[1:]‖₁=3.936, h_range=[1.00e-08, 1.52e+01], num_knots=1295
2025-08-31 19:47:48,494 - Iter 4400: obj=-40.533023, change=2.77e-06, α=0.000, ‖θ[1:]‖₁=3.937, h_range=[1.00e-08, 1.52e+01], num_knots=1281
2025-08-31 19:47:49,719 - Iter 4500: obj=-40.537962, change=2.70e-06, α=0.000, ‖θ[1:]‖₁=3.938, h_range=[1.00e-08, 1.52e+01], num_knots=1263
2025-08-31 19:47:51,166 - Iter 4600: obj=-40.542773, change=3.03e-06, α=0.000, ‖θ[1:]‖₁=3.939, h_range=[1.00e-08, 1.52e+01], num_knots=1257
2025-08-31 19:47:52,403 - Iter 4700: obj=-40.547391, change=2.58e-06, α=0.000, ‖θ[1:]‖₁=3.940, h_range=[1.00e-08, 1.52e+01], num_knots=1250
2025-08-31 19:47:53,606 - Iter 4800: obj=-40.551921, change=2.79e-06, α=0.000, ‖θ[1:]‖₁=3.941, h_range=[1.00e-08, 1.52e+01], num_knots=1244
