2025-08-31 19:53:45,612 - ProximalAdaGrad: lam=0.1, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-08-31 19:53:45,657 - Iter   0: obj=0.000000, change=8.52e-02, α=0.000, ‖θ[1:]‖₁=1.373, h_range=[1.00e-02, 1.69e+01], num_knots=3056
2025-08-31 19:53:47,702 - Iter 100: obj=-34.456517, change=2.97e-04, α=0.000, ‖θ[1:]‖₁=7.526, h_range=[1.00e-08, 1.57e+01], num_knots=2839
2025-08-31 19:53:49,129 - Iter 200: obj=-36.295352, change=1.56e-04, α=0.000, ‖θ[1:]‖₁=8.750, h_range=[1.00e-08, 1.56e+01], num_knots=2827
2025-08-31 19:53:50,428 - Iter 300: obj=-37.136632, change=1.07e-04, α=0.000, ‖θ[1:]‖₁=9.730, h_range=[1.00e-08, 1.56e+01], num_knots=2796
2025-08-31 19:53:51,963 - Iter 400: obj=-37.607865, change=7.80e-05, α=0.000, ‖θ[1:]‖₁=10.285, h_range=[1.00e-08, 1.56e+01], num_knots=2755
2025-08-31 19:53:53,269 - Iter 500: obj=-37.911736, change=5.90e-05, α=0.000, ‖θ[1:]‖₁=10.550, h_range=[1.00e-08, 1.56e+01], num_knots=2704
2025-08-31 19:53:54,697 - Iter 600: obj=-38.131708, change=4.60e-05, α=0.000, ‖θ[1:]‖₁=10.626, h_range=[1.00e-08, 1.56e+01], num_knots=2624
2025-08-31 19:53:56,061 - Iter 700: obj=-38.305079, change=3.88e-05, α=0.000, ‖θ[1:]‖₁=10.588, h_range=[1.00e-08, 1.56e+01], num_knots=2555
2025-08-31 19:53:57,417 - Iter 800: obj=-38.448223, change=3.67e-05, α=0.000, ‖θ[1:]‖₁=10.496, h_range=[1.00e-08, 1.56e+01], num_knots=2483
2025-08-31 19:53:58,683 - Iter 900: obj=-38.570734, change=3.51e-05, α=0.000, ‖θ[1:]‖₁=10.372, h_range=[1.00e-08, 1.56e+01], num_knots=2428
2025-08-31 19:54:00,077 - Iter 1000: obj=-38.678085, change=3.37e-05, α=0.000, ‖θ[1:]‖₁=10.235, h_range=[1.00e-08, 1.56e+01], num_knots=2364
2025-08-31 19:54:01,434 - Iter 1100: obj=-38.773045, change=3.26e-05, α=0.000, ‖θ[1:]‖₁=10.101, h_range=[1.00e-08, 1.56e+01], num_knots=2312
2025-08-31 19:54:02,842 - Iter 1200: obj=-38.857774, change=3.15e-05, α=0.000, ‖θ[1:]‖₁=9.973, h_range=[1.00e-08, 1.56e+01], num_knots=2248
2025-08-31 19:54:04,339 - Iter 1300: obj=-38.933799, change=3.06e-05, α=0.000, ‖θ[1:]‖₁=9.859, h_range=[1.00e-08, 1.56e+01], num_knots=2201
2025-08-31 19:54:05,723 - Iter 1400: obj=-39.003046, change=2.98e-05, α=0.000, ‖θ[1:]‖₁=9.750, h_range=[1.00e-08, 1.56e+01], num_knots=2147
2025-08-31 19:54:07,213 - Iter 1500: obj=-39.065698, change=2.91e-05, α=0.000, ‖θ[1:]‖₁=9.657, h_range=[1.00e-08, 1.56e+01], num_knots=2086
2025-08-31 19:54:08,590 - Iter 1600: obj=-39.122830, change=2.84e-05, α=0.000, ‖θ[1:]‖₁=9.577, h_range=[1.00e-08, 1.56e+01], num_knots=2038
2025-08-31 19:54:10,068 - Iter 1700: obj=-39.175449, change=2.78e-05, α=0.000, ‖θ[1:]‖₁=9.505, h_range=[1.00e-08, 1.56e+01], num_knots=1991
2025-08-31 19:54:11,496 - Iter 1800: obj=-39.224078, change=2.72e-05, α=0.000, ‖θ[1:]‖₁=9.439, h_range=[1.00e-08, 1.56e+01], num_knots=1949
2025-08-31 19:54:12,894 - Iter 1900: obj=-39.269127, change=2.67e-05, α=0.000, ‖θ[1:]‖₁=9.380, h_range=[1.00e-08, 1.56e+01], num_knots=1905
2025-08-31 19:54:14,439 - Iter 2000: obj=-39.311116, change=2.62e-05, α=0.000, ‖θ[1:]‖₁=9.326, h_range=[1.00e-08, 1.56e+01], num_knots=1873
2025-08-31 19:54:15,924 - Iter 2100: obj=-39.350437, change=2.57e-05, α=0.000, ‖θ[1:]‖₁=9.275, h_range=[1.00e-08, 1.56e+01], num_knots=1837
2025-08-31 19:54:17,263 - Iter 2200: obj=-39.387339, change=2.53e-05, α=0.000, ‖θ[1:]‖₁=9.228, h_range=[1.00e-08, 1.56e+01], num_knots=1815
2025-08-31 19:54:18,548 - Iter 2300: obj=-39.422050, change=2.49e-05, α=0.000, ‖θ[1:]‖₁=9.184, h_range=[1.00e-08, 1.56e+01], num_knots=1775
2025-08-31 19:54:19,889 - Iter 2400: obj=-39.454549, change=2.45e-05, α=0.000, ‖θ[1:]‖₁=9.144, h_range=[1.00e-08, 1.56e+01], num_knots=1742
