2025-09-01 00:01:45,442 - ProximalAdaGrad: lam=25, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-01 00:01:45,477 - Iter   0: obj=0.000000, change=1.02e-01, α=0.000, ‖θ[1:]‖₁=0.221, h_range=[1.00e-02, 2.83e+01], num_knots=3026
2025-09-01 00:01:47,265 - Iter 100: obj=-105.598124, change=8.38e-05, α=0.000, ‖θ[1:]‖₁=0.668, h_range=[1.00e-08, 2.83e+01], num_knots=855
2025-09-01 00:01:48,632 - Iter 200: obj=-108.992645, change=3.86e-05, α=0.000, ‖θ[1:]‖₁=0.674, h_range=[1.00e-08, 2.83e+01], num_knots=597
2025-09-01 00:01:49,588 - Iter 300: obj=-110.654564, change=1.96e-05, α=0.000, ‖θ[1:]‖₁=0.680, h_range=[1.00e-08, 2.83e+01], num_knots=460
2025-09-01 00:01:50,496 - Iter 400: obj=-111.640568, change=1.25e-05, α=0.000, ‖θ[1:]‖₁=0.684, h_range=[1.00e-08, 2.83e+01], num_knots=385
2025-09-01 00:01:51,435 - Iter 500: obj=-112.322807, change=9.68e-06, α=0.000, ‖θ[1:]‖₁=0.687, h_range=[1.00e-08, 2.83e+01], num_knots=330
2025-09-01 00:01:52,429 - Iter 600: obj=-112.826316, change=9.31e-06, α=0.000, ‖θ[1:]‖₁=0.689, h_range=[1.00e-08, 2.83e+01], num_knots=292
2025-09-01 00:01:53,367 - Iter 700: obj=-113.221427, change=7.67e-06, α=0.000, ‖θ[1:]‖₁=0.692, h_range=[1.00e-08, 2.83e+01], num_knots=270
2025-09-01 00:01:54,279 - Iter 800: obj=-113.547465, change=7.24e-06, α=0.000, ‖θ[1:]‖₁=0.694, h_range=[1.00e-08, 2.83e+01], num_knots=248
2025-09-01 00:01:55,213 - Iter 900: obj=-113.822597, change=6.90e-06, α=0.000, ‖θ[1:]‖₁=0.695, h_range=[1.00e-08, 2.83e+01], num_knots=228
2025-09-01 00:01:56,147 - Iter 1000: obj=-114.061925, change=6.62e-06, α=0.000, ‖θ[1:]‖₁=0.697, h_range=[1.00e-08, 2.83e+01], num_knots=216
2025-09-01 00:01:57,068 - Iter 1100: obj=-114.271379, change=6.35e-06, α=0.000, ‖θ[1:]‖₁=0.698, h_range=[1.00e-08, 2.83e+01], num_knots=202
2025-09-01 00:01:58,078 - Iter 1200: obj=-114.452748, change=6.08e-06, α=0.000, ‖θ[1:]‖₁=0.700, h_range=[1.00e-08, 2.83e+01], num_knots=191
2025-09-01 00:01:59,015 - Iter 1300: obj=-114.612129, change=5.89e-06, α=0.000, ‖θ[1:]‖₁=0.701, h_range=[1.00e-08, 2.83e+01], num_knots=181
2025-09-01 00:01:59,944 - Iter 1400: obj=-114.751925, change=5.66e-06, α=0.000, ‖θ[1:]‖₁=0.703, h_range=[1.00e-08, 2.83e+01], num_knots=172
2025-09-01 00:02:00,858 - Iter 1500: obj=-114.876071, change=5.48e-06, α=0.000, ‖θ[1:]‖₁=0.704, h_range=[1.00e-08, 2.83e+01], num_knots=165
2025-09-01 00:02:01,781 - Iter 1600: obj=-114.990364, change=5.36e-06, α=0.000, ‖θ[1:]‖₁=0.705, h_range=[1.00e-08, 2.83e+01], num_knots=159
2025-09-01 00:02:02,747 - Iter 1700: obj=-115.093680, change=5.22e-06, α=0.000, ‖θ[1:]‖₁=0.706, h_range=[1.00e-08, 2.83e+01], num_knots=153
2025-09-01 00:02:03,702 - Iter 1800: obj=-115.190617, change=5.12e-06, α=0.000, ‖θ[1:]‖₁=0.707, h_range=[1.00e-08, 2.83e+01], num_knots=148
2025-09-01 00:02:04,588 - Iter 1900: obj=-115.279591, change=5.01e-06, α=0.000, ‖θ[1:]‖₁=0.708, h_range=[1.00e-08, 2.83e+01], num_knots=144
2025-09-01 00:02:05,501 - Iter 2000: obj=-115.363965, change=4.93e-06, α=0.000, ‖θ[1:]‖₁=0.709, h_range=[1.00e-08, 2.83e+01], num_knots=142
2025-09-01 00:02:06,534 - Iter 2100: obj=-115.444232, change=4.84e-06, α=0.000, ‖θ[1:]‖₁=0.710, h_range=[1.00e-08, 2.83e+01], num_knots=137
2025-09-01 00:02:07,440 - Iter 2200: obj=-115.517401, change=4.74e-06, α=0.000, ‖θ[1:]‖₁=0.711, h_range=[1.00e-08, 2.83e+01], num_knots=136
2025-09-01 00:02:08,389 - Iter 2300: obj=-115.588107, change=4.68e-06, α=0.000, ‖θ[1:]‖₁=0.711, h_range=[1.00e-08, 2.83e+01], num_knots=132
2025-09-01 00:02:09,414 - Iter 2400: obj=-115.656862, change=4.64e-06, α=0.000, ‖θ[1:]‖₁=0.712, h_range=[1.00e-08, 2.83e+01], num_knots=128
2025-09-01 00:02:10,325 - Iter 2500: obj=-115.720017, change=4.52e-06, α=0.000, ‖θ[1:]‖₁=0.713, h_range=[1.00e-08, 2.83e+01], num_knots=122
