2025-09-01 00:09:25,084 - ProximalAdaGrad: lam=0.75, alpha=5e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-01 00:09:25,106 - Iter   0: obj=0.000000, change=3.37e-01, α=0.000, ‖θ[1:]‖₁=1.896, h_range=[1.00e-02, 1.63e+01], num_knots=3146
2025-09-01 00:09:25,978 - Iter 100: obj=-107.246020, change=7.06e-05, α=0.000, ‖θ[1:]‖₁=4.033, h_range=[1.00e-08, 1.52e+01], num_knots=2840
2025-09-01 00:09:26,703 - Iter 200: obj=-109.574909, change=7.00e-05, α=0.000, ‖θ[1:]‖₁=5.773, h_range=[1.00e-08, 1.52e+01], num_knots=2706
2025-09-01 00:09:27,455 - Iter 300: obj=-110.697017, change=4.94e-05, α=0.000, ‖θ[1:]‖₁=6.928, h_range=[1.00e-08, 1.52e+01], num_knots=2561
2025-09-01 00:09:28,239 - Iter 400: obj=-111.287128, change=3.71e-05, α=0.000, ‖θ[1:]‖₁=7.729, h_range=[1.00e-08, 1.52e+01], num_knots=2484
2025-09-01 00:09:28,952 - Iter 500: obj=-111.631733, change=2.55e-05, α=0.000, ‖θ[1:]‖₁=8.289, h_range=[1.00e-08, 1.52e+01], num_knots=2433
2025-09-01 00:09:29,732 - Iter 600: obj=-111.853233, change=2.25e-05, α=0.000, ‖θ[1:]‖₁=8.687, h_range=[1.00e-08, 1.52e+01], num_knots=2382
2025-09-01 00:09:30,474 - Iter 700: obj=-112.005895, change=2.05e-05, α=0.000, ‖θ[1:]‖₁=8.975, h_range=[1.00e-08, 1.52e+01], num_knots=2353
2025-09-01 00:09:31,241 - Iter 800: obj=-112.119678, change=2.07e-05, α=0.000, ‖θ[1:]‖₁=9.187, h_range=[1.00e-08, 1.52e+01], num_knots=2310
2025-09-01 00:09:31,966 - Iter 900: obj=-112.203926, change=1.74e-05, α=0.000, ‖θ[1:]‖₁=9.355, h_range=[1.00e-08, 1.52e+01], num_knots=2282
2025-09-01 00:09:32,708 - Iter 1000: obj=-112.272130, change=1.84e-05, α=0.000, ‖θ[1:]‖₁=9.483, h_range=[1.00e-08, 1.52e+01], num_knots=2256
2025-09-01 00:09:33,503 - Iter 1100: obj=-112.329232, change=1.67e-05, α=0.000, ‖θ[1:]‖₁=9.582, h_range=[1.00e-08, 1.52e+01], num_knots=2243
2025-09-01 00:09:34,582 - Iter 1200: obj=-112.378027, change=1.67e-05, α=0.000, ‖θ[1:]‖₁=9.662, h_range=[1.00e-08, 1.52e+01], num_knots=2182
2025-09-01 00:09:35,514 - Iter 1300: obj=-112.419107, change=1.55e-05, α=0.000, ‖θ[1:]‖₁=9.733, h_range=[1.00e-08, 1.52e+01], num_knots=2141
2025-09-01 00:09:36,553 - Iter 1400: obj=-112.454515, change=1.45e-05, α=0.000, ‖θ[1:]‖₁=9.793, h_range=[1.00e-08, 1.52e+01], num_knots=2105
2025-09-01 00:09:37,449 - Iter 1500: obj=-112.486344, change=1.41e-05, α=0.000, ‖θ[1:]‖₁=9.844, h_range=[1.00e-08, 1.52e+01], num_knots=2081
2025-09-01 00:09:38,416 - Iter 1600: obj=-112.514511, change=1.32e-05, α=0.000, ‖θ[1:]‖₁=9.889, h_range=[1.00e-08, 1.52e+01], num_knots=2043
2025-09-01 00:09:39,463 - Iter 1700: obj=-112.540025, change=1.28e-05, α=0.000, ‖θ[1:]‖₁=9.930, h_range=[1.00e-08, 1.52e+01], num_knots=2018
2025-09-01 00:09:40,301 - Iter 1800: obj=-112.562990, change=1.17e-05, α=0.000, ‖θ[1:]‖₁=9.967, h_range=[1.00e-08, 1.52e+01], num_knots=2000
2025-09-01 00:09:41,218 - Iter 1900: obj=-112.584266, change=1.14e-05, α=0.000, ‖θ[1:]‖₁=9.999, h_range=[1.00e-08, 1.52e+01], num_knots=1985
2025-09-01 00:09:42,044 - Iter 2000: obj=-112.603695, change=1.10e-05, α=0.000, ‖θ[1:]‖₁=10.030, h_range=[1.00e-08, 1.52e+01], num_knots=1973
2025-09-01 00:09:42,839 - Iter 2100: obj=-112.621597, change=1.05e-05, α=0.000, ‖θ[1:]‖₁=10.058, h_range=[1.00e-08, 1.52e+01], num_knots=1955
2025-09-01 00:09:43,591 - Iter 2200: obj=-112.638163, change=9.93e-06, α=0.000, ‖θ[1:]‖₁=10.085, h_range=[1.00e-08, 1.52e+01], num_knots=1945
2025-09-01 00:09:44,315 - Iter 2300: obj=-112.653294, change=9.75e-06, α=0.000, ‖θ[1:]‖₁=10.111, h_range=[1.00e-08, 1.52e+01], num_knots=1929
2025-09-01 00:09:45,087 - Iter 2400: obj=-112.667257, change=8.77e-06, α=0.000, ‖θ[1:]‖₁=10.136, h_range=[1.00e-08, 1.52e+01], num_knots=1909
2025-09-01 00:09:45,881 - Iter 2500: obj=-112.680282, change=8.81e-06, α=0.000, ‖θ[1:]‖₁=10.160, h_range=[1.00e-08, 1.52e+01], num_knots=1896
