2025-09-01 00:27:15,104 - ProximalAdaGrad: lam=0.2, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-01 00:27:15,126 - Iter   0: obj=0.000000, change=3.25e-01, α=0.000, ‖θ[1:]‖₁=3.654, h_range=[1.00e-02, 1.69e+01], num_knots=3053
2025-09-01 00:27:16,201 - Iter 100: obj=-101.911777, change=1.14e-04, α=0.000, ‖θ[1:]‖₁=7.297, h_range=[1.00e-08, 1.52e+01], num_knots=2880
2025-09-01 00:27:17,120 - Iter 200: obj=-103.838064, change=7.96e-05, α=0.000, ‖θ[1:]‖₁=11.630, h_range=[1.00e-08, 1.52e+01], num_knots=2827
2025-09-01 00:27:17,978 - Iter 300: obj=-104.937274, change=6.19e-05, α=0.000, ‖θ[1:]‖₁=14.714, h_range=[1.00e-08, 1.52e+01], num_knots=2794
2025-09-01 00:27:19,013 - Iter 400: obj=-105.644428, change=5.04e-05, α=0.000, ‖θ[1:]‖₁=16.975, h_range=[1.00e-08, 1.52e+01], num_knots=2779
2025-09-01 00:27:19,967 - Iter 500: obj=-106.145768, change=4.33e-05, α=0.000, ‖θ[1:]‖₁=18.709, h_range=[1.00e-08, 1.52e+01], num_knots=2751
2025-09-01 00:27:20,878 - Iter 600: obj=-106.525404, change=4.55e-05, α=0.000, ‖θ[1:]‖₁=20.090, h_range=[1.00e-08, 1.52e+01], num_knots=2645
2025-09-01 00:27:21,800 - Iter 700: obj=-106.823215, change=4.42e-05, α=0.000, ‖θ[1:]‖₁=21.221, h_range=[1.00e-08, 1.51e+01], num_knots=2589
2025-09-01 00:27:22,798 - Iter 800: obj=-107.065024, change=4.26e-05, α=0.000, ‖θ[1:]‖₁=22.176, h_range=[1.00e-08, 1.51e+01], num_knots=2553
2025-09-01 00:27:23,713 - Iter 900: obj=-107.268425, change=4.06e-05, α=0.000, ‖θ[1:]‖₁=22.997, h_range=[1.00e-08, 1.51e+01], num_knots=2499
2025-09-01 00:27:24,656 - Iter 1000: obj=-107.441170, change=4.02e-05, α=0.000, ‖θ[1:]‖₁=23.730, h_range=[1.00e-08, 1.51e+01], num_knots=2442
