2025-09-01 15:18:46,506 - ProximalAdaGrad: lam=40, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-01 15:18:46,540 - Iter   0: obj=0.000000, change=1.62e-01, α=0.000, ‖θ[1:]‖₁=0.358, h_range=[1.00e-02, 2.83e+01], num_knots=3026
2025-09-01 15:18:46,761 - Iter  10: obj=-502.972740, change=3.23e-02, α=0.000, ‖θ[1:]‖₁=2.254, h_range=[1.00e-08, 2.83e+01], num_knots=3026
2025-09-01 15:18:46,868 - Iter  20: obj=-627.064698, change=1.67e-02, α=0.000, ‖θ[1:]‖₁=3.036, h_range=[1.00e-08, 2.83e+01], num_knots=2967
2025-09-01 15:18:47,004 - Iter  30: obj=-681.404137, change=1.08e-02, α=0.000, ‖θ[1:]‖₁=3.501, h_range=[1.00e-08, 2.83e+01], num_knots=2915
2025-09-01 15:18:47,125 - Iter  40: obj=-709.703142, change=7.81e-03, α=0.000, ‖θ[1:]‖₁=3.805, h_range=[1.00e-08, 2.83e+01], num_knots=2814
2025-09-01 15:18:47,229 - Iter  50: obj=-727.334850, change=6.33e-03, α=0.000, ‖θ[1:]‖₁=4.017, h_range=[1.00e-08, 2.83e+01], num_knots=2707
2025-09-01 15:18:47,395 - Iter  60: obj=-739.458013, change=5.52e-03, α=0.000, ‖θ[1:]‖₁=4.175, h_range=[1.00e-08, 2.83e+01], num_knots=2598
2025-09-01 15:18:47,530 - Iter  70: obj=-748.226207, change=4.82e-03, α=0.000, ‖θ[1:]‖₁=4.299, h_range=[1.00e-08, 2.83e+01], num_knots=2482
2025-09-01 15:18:47,681 - Iter  80: obj=-754.749839, change=4.26e-03, α=0.000, ‖θ[1:]‖₁=4.402, h_range=[1.00e-08, 2.83e+01], num_knots=2387
2025-09-01 15:18:47,793 - Iter  90: obj=-759.783259, change=3.75e-03, α=0.000, ‖θ[1:]‖₁=4.487, h_range=[1.00e-08, 2.83e+01], num_knots=2315
2025-09-01 15:18:47,930 - Iter 100: obj=-763.833422, change=3.32e-03, α=0.000, ‖θ[1:]‖₁=4.557, h_range=[1.00e-08, 2.83e+01], num_knots=2262
2025-09-01 15:18:48,034 - Iter 110: obj=-767.192642, change=2.95e-03, α=0.000, ‖θ[1:]‖₁=4.614, h_range=[1.00e-08, 2.83e+01], num_knots=2219
2025-09-01 15:18:48,126 - Iter 120: obj=-770.045968, change=2.67e-03, α=0.000, ‖θ[1:]‖₁=4.662, h_range=[1.00e-08, 2.83e+01], num_knots=2184
2025-09-01 15:18:48,246 - Iter 130: obj=-772.522221, change=2.40e-03, α=0.000, ‖θ[1:]‖₁=4.703, h_range=[1.00e-08, 2.83e+01], num_knots=2154
2025-09-01 15:18:48,361 - Iter 140: obj=-774.703688, change=2.18e-03, α=0.000, ‖θ[1:]‖₁=4.737, h_range=[1.00e-08, 2.83e+01], num_knots=2124
2025-09-01 15:18:48,470 - Iter 150: obj=-776.635805, change=2.02e-03, α=0.000, ‖θ[1:]‖₁=4.767, h_range=[1.00e-08, 2.83e+01], num_knots=2089
2025-09-01 15:18:48,580 - Iter 160: obj=-778.361888, change=1.86e-03, α=0.000, ‖θ[1:]‖₁=4.794, h_range=[1.00e-08, 2.83e+01], num_knots=2060
2025-09-01 15:18:48,701 - Iter 170: obj=-779.917172, change=1.69e-03, α=0.000, ‖θ[1:]‖₁=4.817, h_range=[1.00e-08, 2.83e+01], num_knots=2035
2025-09-01 15:18:48,831 - Iter 180: obj=-781.333442, change=1.57e-03, α=0.000, ‖θ[1:]‖₁=4.838, h_range=[1.00e-08, 2.83e+01], num_knots=2007
2025-09-01 15:18:48,943 - Iter 190: obj=-782.632018, change=1.45e-03, α=0.000, ‖θ[1:]‖₁=4.857, h_range=[1.00e-08, 2.83e+01], num_knots=1985
2025-09-01 15:18:49,028 - Iter 200: obj=-783.831118, change=1.35e-03, α=0.000, ‖θ[1:]‖₁=4.874, h_range=[1.00e-08, 2.83e+01], num_knots=1967
2025-09-01 15:18:49,124 - Iter 210: obj=-784.942756, change=1.27e-03, α=0.000, ‖θ[1:]‖₁=4.889, h_range=[1.00e-08, 2.83e+01], num_knots=1941
2025-09-01 15:18:49,203 - Iter 220: obj=-785.975076, change=1.20e-03, α=0.000, ‖θ[1:]‖₁=4.904, h_range=[1.00e-08, 2.83e+01], num_knots=1921
2025-09-01 15:18:49,304 - Iter 230: obj=-786.936091, change=1.11e-03, α=0.000, ‖θ[1:]‖₁=4.917, h_range=[1.00e-08, 2.83e+01], num_knots=1898
2025-09-01 15:18:49,402 - Iter 240: obj=-787.834636, change=1.05e-03, α=0.000, ‖θ[1:]‖₁=4.930, h_range=[1.00e-08, 2.83e+01], num_knots=1875
2025-09-01 15:18:49,513 - Iter 250: obj=-788.677402, change=9.90e-04, α=0.000, ‖θ[1:]‖₁=4.942, h_range=[1.00e-08, 2.83e+01], num_knots=1855
2025-09-01 15:18:49,593 - Iter 260: obj=-789.469817, change=9.35e-04, α=0.000, ‖θ[1:]‖₁=4.954, h_range=[1.00e-08, 2.83e+01], num_knots=1836
2025-09-01 15:18:49,696 - Iter 270: obj=-790.216688, change=8.81e-04, α=0.000, ‖θ[1:]‖₁=4.965, h_range=[1.00e-08, 2.83e+01], num_knots=1816
2025-09-01 15:18:49,793 - Iter 280: obj=-790.921274, change=8.37e-04, α=0.000, ‖θ[1:]‖₁=4.975, h_range=[1.00e-08, 2.83e+01], num_knots=1797
2025-09-01 15:18:49,881 - Iter 290: obj=-791.590269, change=7.92e-04, α=0.000, ‖θ[1:]‖₁=4.985, h_range=[1.00e-08, 2.83e+01], num_knots=1783
2025-09-01 15:18:49,970 - Iter 300: obj=-792.224711, change=7.86e-04, α=0.000, ‖θ[1:]‖₁=4.995, h_range=[1.00e-08, 2.83e+01], num_knots=1763
