2025-09-01 15:22:35,933 - ProximalAdaGrad: lam=1.0, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-01 15:22:35,953 - Iter   0: obj=0.000000, change=1.74e-02, α=0.000, ‖θ[1:]‖₁=0.706, h_range=[1.00e-02, 1.63e+01], num_knots=3123
2025-09-01 15:22:36,169 - Iter  10: obj=-299.815751, change=1.75e-02, α=0.000, ‖θ[1:]‖₁=6.371, h_range=[1.00e-08, 1.52e+01], num_knots=3113
2025-09-01 15:22:36,263 - Iter  20: obj=-429.027595, change=1.25e-02, α=0.000, ‖θ[1:]‖₁=9.956, h_range=[1.00e-08, 1.44e+01], num_knots=3089
2025-09-01 15:22:36,383 - Iter  30: obj=-483.683011, change=8.48e-03, α=0.000, ‖θ[1:]‖₁=12.073, h_range=[1.00e-08, 1.38e+01], num_knots=3074
2025-09-01 15:22:36,517 - Iter  40: obj=-508.510584, change=5.64e-03, α=0.000, ‖θ[1:]‖₁=13.328, h_range=[1.00e-08, 1.35e+01], num_knots=3096
2025-09-01 15:22:36,617 - Iter  50: obj=-521.657502, change=3.78e-03, α=0.000, ‖θ[1:]‖₁=14.183, h_range=[1.00e-08, 1.32e+01], num_knots=3109
2025-09-01 15:22:36,708 - Iter  60: obj=-530.288765, change=2.60e-03, α=0.000, ‖θ[1:]‖₁=14.808, h_range=[1.00e-08, 1.31e+01], num_knots=3110
2025-09-01 15:22:36,812 - Iter  70: obj=-537.073068, change=1.86e-03, α=0.000, ‖θ[1:]‖₁=15.310, h_range=[1.00e-08, 1.30e+01], num_knots=3113
2025-09-01 15:22:36,920 - Iter  80: obj=-543.005958, change=1.41e-03, α=0.000, ‖θ[1:]‖₁=15.748, h_range=[1.00e-08, 1.30e+01], num_knots=3113
2025-09-01 15:22:37,020 - Iter  90: obj=-548.464423, change=1.12e-03, α=0.000, ‖θ[1:]‖₁=16.154, h_range=[1.00e-08, 1.29e+01], num_knots=3113
2025-09-01 15:22:37,137 - Iter 100: obj=-553.605351, change=9.44e-04, α=0.000, ‖θ[1:]‖₁=16.541, h_range=[1.00e-08, 1.29e+01], num_knots=3112
2025-09-01 15:22:37,284 - Iter 110: obj=-558.504714, change=8.28e-04, α=0.000, ‖θ[1:]‖₁=16.919, h_range=[1.00e-08, 1.29e+01], num_knots=3112
2025-09-01 15:22:37,491 - Iter 120: obj=-563.202744, change=7.52e-04, α=0.000, ‖θ[1:]‖₁=17.290, h_range=[1.00e-08, 1.28e+01], num_knots=3112
2025-09-01 15:22:37,625 - Iter 130: obj=-567.718075, change=6.98e-04, α=0.000, ‖θ[1:]‖₁=17.660, h_range=[1.00e-08, 1.28e+01], num_knots=3110
2025-09-01 15:22:37,733 - Iter 140: obj=-572.016072, change=7.00e-04, α=0.000, ‖θ[1:]‖₁=18.060, h_range=[1.00e-08, 1.28e+01], num_knots=3108
2025-09-01 15:22:37,844 - Iter 150: obj=-576.081831, change=6.46e-04, α=0.000, ‖θ[1:]‖₁=18.497, h_range=[1.00e-08, 1.28e+01], num_knots=3106
2025-09-01 15:22:37,958 - Iter 160: obj=-579.975082, change=6.11e-04, α=0.000, ‖θ[1:]‖₁=18.950, h_range=[1.00e-08, 1.28e+01], num_knots=3105
2025-09-01 15:22:38,076 - Iter 170: obj=-583.720261, change=5.76e-04, α=0.000, ‖θ[1:]‖₁=19.414, h_range=[1.00e-08, 1.28e+01], num_knots=3106
2025-09-01 15:22:38,196 - Iter 180: obj=-587.337533, change=5.47e-04, α=0.000, ‖θ[1:]‖₁=19.883, h_range=[1.00e-08, 1.28e+01], num_knots=3107
2025-09-01 15:22:38,293 - Iter 190: obj=-590.837539, change=5.29e-04, α=0.000, ‖θ[1:]‖₁=20.356, h_range=[1.00e-08, 1.27e+01], num_knots=3105
2025-09-01 15:22:38,409 - Iter 200: obj=-594.224108, change=5.13e-04, α=0.000, ‖θ[1:]‖₁=20.835, h_range=[1.00e-08, 1.27e+01], num_knots=3108
2025-09-01 15:22:38,501 - Iter 210: obj=-597.514209, change=4.93e-04, α=0.000, ‖θ[1:]‖₁=21.315, h_range=[1.00e-08, 1.27e+01], num_knots=3104
2025-09-01 15:22:38,608 - Iter 220: obj=-600.712533, change=4.77e-04, α=0.000, ‖θ[1:]‖₁=21.795, h_range=[1.00e-08, 1.27e+01], num_knots=3099
2025-09-01 15:22:38,715 - Iter 230: obj=-603.828410, change=4.62e-04, α=0.000, ‖θ[1:]‖₁=22.276, h_range=[1.00e-08, 1.27e+01], num_knots=3095
2025-09-01 15:22:38,822 - Iter 240: obj=-606.864780, change=4.55e-04, α=0.000, ‖θ[1:]‖₁=22.756, h_range=[1.00e-08, 1.27e+01], num_knots=3095
2025-09-01 15:22:38,928 - Iter 250: obj=-609.830757, change=4.43e-04, α=0.000, ‖θ[1:]‖₁=23.233, h_range=[1.00e-08, 1.27e+01], num_knots=3092
2025-09-01 15:22:39,046 - Iter 260: obj=-612.728912, change=4.31e-04, α=0.000, ‖θ[1:]‖₁=23.709, h_range=[1.00e-08, 1.27e+01], num_knots=3089
2025-09-01 15:22:39,156 - Iter 270: obj=-615.564807, change=4.18e-04, α=0.000, ‖θ[1:]‖₁=24.181, h_range=[1.00e-08, 1.27e+01], num_knots=3089
2025-09-01 15:22:39,254 - Iter 280: obj=-618.342091, change=4.14e-04, α=0.000, ‖θ[1:]‖₁=24.651, h_range=[1.00e-08, 1.27e+01], num_knots=3087
2025-09-01 15:22:39,415 - Iter 290: obj=-621.060060, change=4.03e-04, α=0.000, ‖θ[1:]‖₁=25.119, h_range=[1.00e-08, 1.27e+01], num_knots=3082
2025-09-01 15:22:39,516 - Iter 300: obj=-623.725771, change=3.92e-04, α=0.000, ‖θ[1:]‖₁=25.583, h_range=[1.00e-08, 1.27e+01], num_knots=3075
2025-09-01 15:22:39,610 - Iter 310: obj=-626.343052, change=3.82e-04, α=0.000, ‖θ[1:]‖₁=26.043, h_range=[1.00e-08, 1.27e+01], num_knots=3074
2025-09-01 15:22:39,749 - Iter 320: obj=-628.915929, change=3.75e-04, α=0.000, ‖θ[1:]‖₁=26.498, h_range=[1.00e-08, 1.26e+01], num_knots=3072
2025-09-01 15:22:39,849 - Iter 330: obj=-631.444031, change=3.73e-04, α=0.000, ‖θ[1:]‖₁=26.949, h_range=[1.00e-08, 1.26e+01], num_knots=3068
2025-09-01 15:22:39,970 - Iter 340: obj=-633.927268, change=3.66e-04, α=0.000, ‖θ[1:]‖₁=27.397, h_range=[1.00e-08, 1.26e+01], num_knots=3064
2025-09-01 15:22:40,082 - Iter 350: obj=-636.369570, change=3.61e-04, α=0.000, ‖θ[1:]‖₁=27.840, h_range=[1.00e-08, 1.26e+01], num_knots=3062
2025-09-01 15:22:40,182 - Iter 360: obj=-638.771084, change=3.59e-04, α=0.000, ‖θ[1:]‖₁=28.280, h_range=[1.00e-08, 1.26e+01], num_knots=3054
2025-09-01 15:22:40,291 - Iter 370: obj=-641.131148, change=3.53e-04, α=0.000, ‖θ[1:]‖₁=28.717, h_range=[1.00e-08, 1.26e+01], num_knots=3053
2025-09-01 15:22:40,399 - Iter 380: obj=-643.453535, change=3.50e-04, α=0.000, ‖θ[1:]‖₁=29.151, h_range=[1.00e-08, 1.26e+01], num_knots=3051
2025-09-01 15:22:40,505 - Iter 390: obj=-645.738248, change=3.41e-04, α=0.000, ‖θ[1:]‖₁=29.581, h_range=[1.00e-08, 1.26e+01], num_knots=3047
