2025-09-01 15:32:16,884 - ProximalAdaGrad: lam=0.075, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-01 15:32:16,903 - Iter   0: obj=0.000000, change=5.00e-02, α=0.000, ‖θ[1:]‖₁=2.342, h_range=[1.00e-02, 1.69e+01], num_knots=3112
2025-09-01 15:32:17,138 - Iter  10: obj=-178.391503, change=9.74e-03, α=0.000, ‖θ[1:]‖₁=14.797, h_range=[1.00e-08, 1.56e+01], num_knots=3060
2025-09-01 15:32:17,250 - Iter  20: obj=-266.486410, change=7.43e-03, α=0.000, ‖θ[1:]‖₁=23.292, h_range=[1.00e-08, 1.51e+01], num_knots=3057
2025-09-01 15:32:17,360 - Iter  30: obj=-313.418982, change=5.54e-03, α=0.000, ‖θ[1:]‖₁=29.057, h_range=[1.00e-08, 1.48e+01], num_knots=3086
2025-09-01 15:32:17,499 - Iter  40: obj=-340.607759, change=4.13e-03, α=0.000, ‖θ[1:]‖₁=33.421, h_range=[1.00e-08, 1.46e+01], num_knots=3093
2025-09-01 15:32:17,632 - Iter  50: obj=-358.529048, change=3.12e-03, α=0.000, ‖θ[1:]‖₁=37.053, h_range=[1.00e-08, 1.44e+01], num_knots=3097
2025-09-01 15:32:17,845 - Iter  60: obj=-372.029593, change=2.42e-03, α=0.000, ‖θ[1:]‖₁=40.322, h_range=[1.00e-08, 1.43e+01], num_knots=3098
2025-09-01 15:32:17,977 - Iter  70: obj=-383.284419, change=1.94e-03, α=0.000, ‖θ[1:]‖₁=43.425, h_range=[1.00e-08, 1.42e+01], num_knots=3099
2025-09-01 15:32:18,098 - Iter  80: obj=-393.242376, change=1.61e-03, α=0.000, ‖θ[1:]‖₁=46.528, h_range=[1.00e-08, 1.41e+01], num_knots=3098
2025-09-01 15:32:18,207 - Iter  90: obj=-402.340865, change=1.38e-03, α=0.000, ‖θ[1:]‖₁=49.626, h_range=[1.00e-08, 1.40e+01], num_knots=3099
2025-09-01 15:32:18,335 - Iter 100: obj=-410.781636, change=1.22e-03, α=0.000, ‖θ[1:]‖₁=52.721, h_range=[1.00e-08, 1.40e+01], num_knots=3098
2025-09-01 15:32:18,455 - Iter 110: obj=-418.661452, change=1.11e-03, α=0.000, ‖θ[1:]‖₁=55.852, h_range=[1.00e-08, 1.39e+01], num_knots=3099
2025-09-01 15:32:18,598 - Iter 120: obj=-426.041156, change=1.03e-03, α=0.000, ‖θ[1:]‖₁=59.001, h_range=[1.00e-08, 1.39e+01], num_knots=3098
2025-09-01 15:32:18,715 - Iter 130: obj=-432.969595, change=9.66e-04, α=0.000, ‖θ[1:]‖₁=62.123, h_range=[1.00e-08, 1.39e+01], num_knots=3095
2025-09-01 15:32:18,834 - Iter 140: obj=-439.477650, change=9.18e-04, α=0.000, ‖θ[1:]‖₁=65.226, h_range=[1.00e-08, 1.38e+01], num_knots=3097
2025-09-01 15:32:18,942 - Iter 150: obj=-445.597908, change=8.80e-04, α=0.000, ‖θ[1:]‖₁=68.281, h_range=[1.00e-08, 1.38e+01], num_knots=3097
2025-09-01 15:32:19,047 - Iter 160: obj=-451.355405, change=8.46e-04, α=0.000, ‖θ[1:]‖₁=71.293, h_range=[1.00e-08, 1.38e+01], num_knots=3097
