2025-09-02 00:01:22,302 - ProximalAdaGrad: lam=80, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-02 00:01:22,324 - Iter   0: obj=0.000000, change=1.56e-01, α=0.000, ‖θ[1:]‖₁=2.062, h_range=[2.56e+01, 2.83e+01], num_knots=3023
2025-09-02 00:01:22,558 - Iter  10: obj=-3899.751076, change=3.80e-02, α=0.000, ‖θ[1:]‖₁=6.830, h_range=[1.53e+01, 2.83e+01], num_knots=2397
2025-09-02 00:01:22,647 - Iter  20: obj=-4179.451802, change=2.06e-02, α=0.000, ‖θ[1:]‖₁=7.236, h_range=[1.34e+01, 2.83e+01], num_knots=1863
2025-09-02 00:01:22,738 - Iter  30: obj=-4292.580402, change=1.48e-02, α=0.000, ‖θ[1:]‖₁=7.571, h_range=[1.23e+01, 2.83e+01], num_knots=1525
2025-09-02 00:01:22,825 - Iter  40: obj=-4348.071887, change=1.03e-02, α=0.000, ‖θ[1:]‖₁=7.799, h_range=[1.16e+01, 2.83e+01], num_knots=1360
2025-09-02 00:01:22,919 - Iter  50: obj=-4379.935691, change=7.52e-03, α=0.000, ‖θ[1:]‖₁=7.975, h_range=[1.11e+01, 2.83e+01], num_knots=1245
2025-09-02 00:01:23,022 - Iter  60: obj=-4400.633682, change=5.58e-03, α=0.000, ‖θ[1:]‖₁=8.106, h_range=[1.08e+01, 2.83e+01], num_knots=1171
2025-09-02 00:01:23,107 - Iter  70: obj=-4415.807822, change=4.51e-03, α=0.000, ‖θ[1:]‖₁=8.208, h_range=[1.05e+01, 2.83e+01], num_knots=1124
2025-09-02 00:01:23,199 - Iter  80: obj=-4427.634293, change=3.78e-03, α=0.000, ‖θ[1:]‖₁=8.292, h_range=[1.03e+01, 2.83e+01], num_knots=1083
2025-09-02 00:01:23,320 - Iter  90: obj=-4437.255488, change=3.10e-03, α=0.000, ‖θ[1:]‖₁=8.363, h_range=[1.01e+01, 2.83e+01], num_knots=1049
2025-09-02 00:01:23,520 - Iter 100: obj=-4445.283047, change=2.63e-03, α=0.000, ‖θ[1:]‖₁=8.424, h_range=[9.99e+00, 2.83e+01], num_knots=1018
2025-09-02 00:01:23,613 - Iter 110: obj=-4452.211371, change=2.29e-03, α=0.000, ‖θ[1:]‖₁=8.476, h_range=[9.87e+00, 2.83e+01], num_knots=995
2025-09-02 00:01:23,707 - Iter 120: obj=-4458.340753, change=1.98e-03, α=0.000, ‖θ[1:]‖₁=8.521, h_range=[9.77e+00, 2.83e+01], num_knots=975
2025-09-02 00:01:23,818 - Iter 130: obj=-4463.857175, change=1.75e-03, α=0.000, ‖θ[1:]‖₁=8.561, h_range=[9.69e+00, 2.83e+01], num_knots=959
2025-09-02 00:01:23,915 - Iter 140: obj=-4468.868053, change=1.62e-03, α=0.000, ‖θ[1:]‖₁=8.597, h_range=[9.61e+00, 2.83e+01], num_knots=941
2025-09-02 00:01:24,015 - Iter 150: obj=-4473.442844, change=1.50e-03, α=0.000, ‖θ[1:]‖₁=8.630, h_range=[9.53e+00, 2.83e+01], num_knots=924
2025-09-02 00:01:24,134 - Iter 160: obj=-4477.649585, change=1.41e-03, α=0.000, ‖θ[1:]‖₁=8.659, h_range=[9.47e+00, 2.83e+01], num_knots=907
2025-09-02 00:01:24,239 - Iter 170: obj=-4481.490556, change=1.32e-03, α=0.000, ‖θ[1:]‖₁=8.688, h_range=[9.40e+00, 2.83e+01], num_knots=895
2025-09-02 00:01:24,369 - Iter 180: obj=-4485.004542, change=1.22e-03, α=0.000, ‖θ[1:]‖₁=8.714, h_range=[9.34e+00, 2.83e+01], num_knots=879
2025-09-02 00:01:24,515 - Iter 190: obj=-4488.238708, change=1.14e-03, α=0.000, ‖θ[1:]‖₁=8.739, h_range=[9.29e+00, 2.83e+01], num_knots=864
2025-09-02 00:01:24,654 - Iter 200: obj=-4491.234920, change=1.07e-03, α=0.000, ‖θ[1:]‖₁=8.762, h_range=[9.24e+00, 2.83e+01], num_knots=852
2025-09-02 00:01:24,744 - Iter 210: obj=-4494.024260, change=9.42e-04, α=0.000, ‖θ[1:]‖₁=8.783, h_range=[9.20e+00, 2.83e+01], num_knots=839
2025-09-02 00:01:24,846 - Iter 220: obj=-4496.628510, change=8.49e-04, α=0.000, ‖θ[1:]‖₁=8.802, h_range=[9.15e+00, 2.83e+01], num_knots=828
2025-09-02 00:01:24,945 - Iter 230: obj=-4499.059694, change=7.73e-04, α=0.000, ‖θ[1:]‖₁=8.821, h_range=[9.12e+00, 2.83e+01], num_knots=818
2025-09-02 00:01:25,036 - Iter 240: obj=-4501.332147, change=7.24e-04, α=0.000, ‖θ[1:]‖₁=8.839, h_range=[9.08e+00, 2.83e+01], num_knots=808
2025-09-02 00:01:25,208 - Iter 250: obj=-4503.473908, change=6.82e-04, α=0.000, ‖θ[1:]‖₁=8.855, h_range=[9.05e+00, 2.83e+01], num_knots=795
2025-09-02 00:01:25,363 - Iter 260: obj=-4505.482669, change=6.15e-04, α=0.000, ‖θ[1:]‖₁=8.871, h_range=[9.02e+00, 2.83e+01], num_knots=783
2025-09-02 00:01:25,517 - Iter 270: obj=-4507.368379, change=6.18e-04, α=0.000, ‖θ[1:]‖₁=8.887, h_range=[9.00e+00, 2.83e+01], num_knots=775
2025-09-02 00:01:25,649 - Iter 280: obj=-4509.131723, change=5.52e-04, α=0.000, ‖θ[1:]‖₁=8.902, h_range=[8.97e+00, 2.83e+01], num_knots=764
2025-09-02 00:01:25,832 - Iter 290: obj=-4510.784523, change=5.49e-04, α=0.000, ‖θ[1:]‖₁=8.916, h_range=[8.95e+00, 2.83e+01], num_knots=751
