2025-09-02 00:09:46,072 - ProximalAdaGrad: lam=0.05, alpha=5e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-02 00:09:46,091 - Iter   0: obj=0.000000, change=4.07e-01, α=0.000, ‖θ[1:]‖₁=5.675, h_range=[5.54e+00, 1.63e+01], num_knots=3201
2025-09-02 00:09:46,301 - Iter  10: obj=-1624.269324, change=1.10e-02, α=0.000, ‖θ[1:]‖₁=18.324, h_range=[1.35e+00, 1.13e+01], num_knots=3201
2025-09-02 00:09:46,402 - Iter  20: obj=-2297.031395, change=1.20e-02, α=0.000, ‖θ[1:]‖₁=32.826, h_range=[9.32e-01, 1.10e+01], num_knots=3201
2025-09-02 00:09:46,488 - Iter  30: obj=-2819.640126, change=1.20e-02, α=0.000, ‖θ[1:]‖₁=46.933, h_range=[6.04e-01, 1.07e+01], num_knots=3201
2025-09-02 00:09:46,601 - Iter  40: obj=-3209.902871, change=1.14e-02, α=0.000, ‖θ[1:]‖₁=60.032, h_range=[3.83e-01, 1.04e+01], num_knots=3201
2025-09-02 00:09:46,716 - Iter  50: obj=-3494.356246, change=1.05e-02, α=0.000, ‖θ[1:]‖₁=71.810, h_range=[2.46e-01, 1.00e+01], num_knots=3201
2025-09-02 00:09:46,831 - Iter  60: obj=-3699.853789, change=9.38e-03, α=0.000, ‖θ[1:]‖₁=82.132, h_range=[1.64e-01, 9.70e+00], num_knots=3201
2025-09-02 00:09:46,918 - Iter  70: obj=-3848.905688, change=8.31e-03, α=0.000, ‖θ[1:]‖₁=90.999, h_range=[1.15e-01, 9.41e+00], num_knots=3201
2025-09-02 00:09:47,020 - Iter  80: obj=-3958.561870, change=7.33e-03, α=0.000, ‖θ[1:]‖₁=98.494, h_range=[8.51e-02, 9.16e+00], num_knots=3200
2025-09-02 00:09:47,131 - Iter  90: obj=-4041.041437, change=6.46e-03, α=0.000, ‖θ[1:]‖₁=104.753, h_range=[6.63e-02, 8.93e+00], num_knots=3201
2025-09-02 00:09:47,222 - Iter 100: obj=-4104.837423, change=5.70e-03, α=0.000, ‖θ[1:]‖₁=109.930, h_range=[5.42e-02, 8.73e+00], num_knots=3201
2025-09-02 00:09:47,381 - Iter 110: obj=-4155.753470, change=5.05e-03, α=0.000, ‖θ[1:]‖₁=114.172, h_range=[4.62e-02, 8.56e+00], num_knots=3201
2025-09-02 00:09:47,560 - Iter 120: obj=-4197.716285, change=4.50e-03, α=0.000, ‖θ[1:]‖₁=117.615, h_range=[4.10e-02, 8.40e+00], num_knots=3201
2025-09-02 00:09:47,667 - Iter 130: obj=-4233.369596, change=4.02e-03, α=0.000, ‖θ[1:]‖₁=120.385, h_range=[3.74e-02, 8.27e+00], num_knots=3201
2025-09-02 00:09:47,779 - Iter 140: obj=-4264.487135, change=3.62e-03, α=0.000, ‖θ[1:]‖₁=122.614, h_range=[3.51e-02, 8.15e+00], num_knots=3201
