2025-09-02 19:16:16,093 - ProximalAdaGrad: lam=5e-05, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-02 19:16:16,114 - Iter   0: obj=0.000000, change=2.77e-01, α=0.000, ‖θ[1:]‖₁=10.760, h_range=[1.51e+00, 1.69e+01], num_knots=3202
2025-09-02 19:16:16,344 - Iter  10: obj=-1286.233676, change=5.30e-03, α=0.000, ‖θ[1:]‖₁=46.394, h_range=[7.75e-02, 1.08e+01], num_knots=3202
2025-09-02 19:16:16,492 - Iter  20: obj=-1424.279818, change=5.51e-03, α=0.000, ‖θ[1:]‖₁=65.517, h_range=[4.13e-02, 1.05e+01], num_knots=3202
2025-09-02 19:16:16,624 - Iter  30: obj=-1554.094576, change=5.45e-03, α=0.000, ‖θ[1:]‖₁=83.794, h_range=[2.99e-02, 1.04e+01], num_knots=3202
2025-09-02 19:16:16,730 - Iter  40: obj=-1679.152833, change=5.33e-03, α=0.000, ‖θ[1:]‖₁=102.788, h_range=[2.33e-02, 1.04e+01], num_knots=3202
2025-09-02 19:16:16,809 - Iter  50: obj=-1798.655462, change=5.20e-03, α=0.000, ‖θ[1:]‖₁=122.739, h_range=[1.86e-02, 1.04e+01], num_knots=3202
2025-09-02 19:16:16,893 - Iter  60: obj=-1912.475517, change=5.08e-03, α=0.000, ‖θ[1:]‖₁=143.351, h_range=[1.49e-02, 1.04e+01], num_knots=3202
2025-09-02 19:16:16,981 - Iter  70: obj=-2020.755495, change=4.96e-03, α=0.000, ‖θ[1:]‖₁=164.357, h_range=[1.21e-02, 1.04e+01], num_knots=3202
2025-09-02 19:16:17,093 - Iter  80: obj=-2123.717628, change=4.85e-03, α=0.000, ‖θ[1:]‖₁=185.534, h_range=[9.82e-03, 1.04e+01], num_knots=3202
2025-09-02 19:16:17,218 - Iter  90: obj=-2221.604990, change=4.74e-03, α=0.000, ‖θ[1:]‖₁=206.773, h_range=[8.00e-03, 1.03e+01], num_knots=3202
2025-09-02 19:16:17,335 - Iter 100: obj=-2314.662879, change=4.64e-03, α=0.000, ‖θ[1:]‖₁=227.984, h_range=[6.55e-03, 1.03e+01], num_knots=3202
2025-09-02 19:16:17,452 - Iter 110: obj=-2403.132196, change=4.54e-03, α=0.000, ‖θ[1:]‖₁=249.106, h_range=[5.37e-03, 1.03e+01], num_knots=3202
