2025-09-01 23:39:27,216 - ProximalNewtonLBFGS: lam=80, memory=5, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-01 23:39:27,489 - Iter   0: obj=0.000000, change=4.34e+00, α=0.000, ‖θ[1:]‖₁=14.727, γ=229928.161, num_knots=3023
2025-09-01 23:39:27,841 - Iter  10: obj=-4372.376811, change=2.12e-02, α=1.000, ‖θ[1:]‖₁=7.961, γ=1000000.000, num_knots=1554
2025-09-01 23:39:28,184 - Iter  20: obj=-4430.537261, change=7.78e-03, α=1.000, ‖θ[1:]‖₁=8.369, γ=122153.864, num_knots=934
2025-09-01 23:39:28,672 - Iter  30: obj=-4488.542914, change=7.45e-04, α=1.000, ‖θ[1:]‖₁=8.730, γ=747259.476, num_knots=794
2025-09-01 23:39:29,032 - Iter  40: obj=-4491.778629, change=5.93e-03, α=1.000, ‖θ[1:]‖₁=8.768, γ=17200.791, num_knots=774
2025-09-01 23:39:29,339 - Iter  50: obj=-4513.895956, change=1.51e-02, α=1.000, ‖θ[1:]‖₁=8.986, γ=62613.162, num_knots=640
2025-09-01 23:39:29,679 - Iter  60: obj=-4528.006836, change=1.43e-03, α=1.000, ‖θ[1:]‖₁=9.064, γ=55215.496, num_knots=587
2025-09-01 23:39:29,973 - Iter  70: obj=-4536.725255, change=5.34e-04, α=1.000, ‖θ[1:]‖₁=9.157, γ=170877.426, num_knots=532
2025-09-01 23:39:30,310 - Iter  80: obj=-4542.682326, change=2.51e-02, α=1.000, ‖θ[1:]‖₁=9.309, γ=61529.257, num_knots=457
2025-09-01 23:39:30,500 - Iter  90: obj=-4546.394759, change=1.23e-04, α=0.100, ‖θ[1:]‖₁=9.305, γ=188093.631, num_knots=460
2025-09-01 23:39:30,697 - Iter 100: obj=-4546.463608, change=1.03e-04, α=0.100, ‖θ[1:]‖₁=9.302, γ=185136.569, num_knots=460
2025-09-01 23:39:30,899 - Iter 110: obj=-4546.532009, change=8.76e-05, α=0.100, ‖θ[1:]‖₁=9.300, γ=180193.608, num_knots=460
2025-09-01 23:39:31,110 - Iter 120: obj=-4546.601169, change=7.50e-05, α=0.100, ‖θ[1:]‖₁=9.298, γ=173764.498, num_knots=460
2025-09-01 23:39:31,328 - Iter 130: obj=-4546.672040, change=6.39e-05, α=0.100, ‖θ[1:]‖₁=9.297, γ=165878.085, num_knots=460
2025-09-01 23:39:31,512 - Iter 140: obj=-4546.745869, change=5.42e-05, α=0.100, ‖θ[1:]‖₁=9.296, γ=155502.078, num_knots=460
2025-09-01 23:39:31,800 - Iter 150: obj=-4547.420719, change=6.97e-04, α=1.000, ‖θ[1:]‖₁=9.298, γ=2516.731, num_knots=449
2025-09-01 23:39:32,010 - Iter 160: obj=-4551.645318, change=1.74e-04, α=0.100, ‖θ[1:]‖₁=9.388, γ=191882.307, num_knots=425
2025-09-01 23:39:32,200 - Iter 170: obj=-4551.700082, change=1.50e-04, α=0.100, ‖θ[1:]‖₁=9.384, γ=191354.514, num_knots=425
2025-09-01 23:39:32,402 - Iter 180: obj=-4551.752300, change=1.30e-04, α=0.100, ‖θ[1:]‖₁=9.380, γ=190729.850, num_knots=425
2025-09-01 23:39:32,609 - Iter 190: obj=-4551.802644, change=1.12e-04, α=0.100, ‖θ[1:]‖₁=9.377, γ=189828.953, num_knots=425
2025-09-01 23:39:32,824 - Iter 200: obj=-4551.851664, change=9.67e-05, α=0.100, ‖θ[1:]‖₁=9.375, γ=188583.388, num_knots=425
