2025-09-06 12:57:02,749 - ProximalAdaGrad: lam=30, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-06 12:57:02,781 - Iter   0: obj=0.000000, change=4.21e-02, α=0.000, ‖θ[1:]‖₁=0.179, h_range=[1.29e+01, 2.83e+01], num_knots=2860
2025-09-06 12:57:02,998 - Iter  10: obj=-257.454008, change=2.01e-02, α=0.000, ‖θ[1:]‖₁=1.677, h_range=[1.11e+01, 2.83e+01], num_knots=3022
2025-09-06 12:57:03,101 - Iter  20: obj=-417.917630, change=1.25e-02, α=0.000, ‖θ[1:]‖₁=2.922, h_range=[1.03e+01, 2.83e+01], num_knots=3001
2025-09-06 12:57:03,182 - Iter  30: obj=-538.195756, change=9.99e-03, α=0.000, ‖θ[1:]‖₁=3.997, h_range=[9.75e+00, 2.83e+01], num_knots=2959
2025-09-06 12:57:03,280 - Iter  40: obj=-629.513946, change=8.78e-03, α=0.000, ‖θ[1:]‖₁=4.926, h_range=[9.31e+00, 2.83e+01], num_knots=2901
2025-09-06 12:57:03,363 - Iter  50: obj=-698.943051, change=7.85e-03, α=0.000, ‖θ[1:]‖₁=5.725, h_range=[8.94e+00, 2.83e+01], num_knots=2854
2025-09-06 12:57:03,466 - Iter  60: obj=-752.002794, change=7.04e-03, α=0.000, ‖θ[1:]‖₁=6.410, h_range=[8.62e+00, 2.83e+01], num_knots=2810
2025-09-06 12:57:03,564 - Iter  70: obj=-792.889452, change=6.30e-03, α=0.000, ‖θ[1:]‖₁=6.998, h_range=[8.34e+00, 2.83e+01], num_knots=2770
2025-09-06 12:57:03,659 - Iter  80: obj=-824.773352, change=5.62e-03, α=0.000, ‖θ[1:]‖₁=7.502, h_range=[8.10e+00, 2.83e+01], num_knots=2735
2025-09-06 12:57:03,756 - Iter  90: obj=-849.982112, change=5.03e-03, α=0.000, ‖θ[1:]‖₁=7.935, h_range=[7.89e+00, 2.83e+01], num_knots=2702
2025-09-06 12:57:03,930 - Iter 100: obj=-870.209600, change=4.49e-03, α=0.000, ‖θ[1:]‖₁=8.308, h_range=[7.70e+00, 2.83e+01], num_knots=2670
2025-09-06 12:57:04,073 - Iter 110: obj=-886.708243, change=4.02e-03, α=0.000, ‖θ[1:]‖₁=8.630, h_range=[7.54e+00, 2.83e+01], num_knots=2645
2025-09-06 12:57:04,206 - Iter 120: obj=-900.391494, change=3.61e-03, α=0.000, ‖θ[1:]‖₁=8.909, h_range=[7.39e+00, 2.83e+01], num_knots=2616
2025-09-06 12:57:04,311 - Iter 130: obj=-911.926125, change=3.25e-03, α=0.000, ‖θ[1:]‖₁=9.151, h_range=[7.27e+00, 2.83e+01], num_knots=2590
2025-09-06 12:57:04,457 - Iter 140: obj=-921.786621, change=2.95e-03, α=0.000, ‖θ[1:]‖₁=9.363, h_range=[7.15e+00, 2.83e+01], num_knots=2562
2025-09-06 12:57:04,581 - Iter 150: obj=-930.322888, change=2.71e-03, α=0.000, ‖θ[1:]‖₁=9.550, h_range=[7.05e+00, 2.83e+01], num_knots=2537
2025-09-06 12:57:04,679 - Iter 160: obj=-937.803213, change=2.49e-03, α=0.000, ‖θ[1:]‖₁=9.715, h_range=[6.96e+00, 2.83e+01], num_knots=2513
2025-09-06 12:57:04,772 - Iter 170: obj=-944.439516, change=2.29e-03, α=0.000, ‖θ[1:]‖₁=9.862, h_range=[6.88e+00, 2.83e+01], num_knots=2491
2025-09-06 12:57:04,867 - Iter 180: obj=-950.391124, change=2.13e-03, α=0.000, ‖θ[1:]‖₁=9.992, h_range=[6.81e+00, 2.83e+01], num_knots=2468
2025-09-06 12:57:04,978 - Iter 190: obj=-955.766871, change=1.96e-03, α=0.000, ‖θ[1:]‖₁=10.110, h_range=[6.74e+00, 2.83e+01], num_knots=2445
2025-09-06 12:57:05,102 - Iter 200: obj=-960.654823, change=1.82e-03, α=0.000, ‖θ[1:]‖₁=10.216, h_range=[6.68e+00, 2.83e+01], num_knots=2422
2025-09-06 12:57:05,205 - Iter 210: obj=-965.130470, change=1.71e-03, α=0.000, ‖θ[1:]‖₁=10.312, h_range=[6.62e+00, 2.83e+01], num_knots=2398
2025-09-06 12:57:05,307 - Iter 220: obj=-969.251980, change=1.60e-03, α=0.000, ‖θ[1:]‖₁=10.400, h_range=[6.57e+00, 2.83e+01], num_knots=2380
2025-09-06 12:57:05,395 - Iter 230: obj=-973.067708, change=1.51e-03, α=0.000, ‖θ[1:]‖₁=10.480, h_range=[6.52e+00, 2.83e+01], num_knots=2360
