2025-09-06 13:05:13,655 - ProximalAdaGrad: lam=0.75, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-06 13:05:13,675 - Iter   0: obj=0.000000, change=6.38e-02, α=0.000, ‖θ[1:]‖₁=0.789, h_range=[4.42e-01, 1.63e+01], num_knots=3201
2025-09-06 13:05:13,913 - Iter  10: obj=-116.885973, change=8.05e-03, α=0.000, ‖θ[1:]‖₁=4.886, h_range=[3.31e-01, 1.54e+01], num_knots=3201
2025-09-06 13:05:14,025 - Iter  20: obj=-166.338443, change=4.86e-03, α=0.000, ‖θ[1:]‖₁=7.899, h_range=[2.86e-01, 1.50e+01], num_knots=3201
2025-09-06 13:05:14,133 - Iter  30: obj=-193.989754, change=2.82e-03, α=0.000, ‖θ[1:]‖₁=10.098, h_range=[2.56e-01, 1.48e+01], num_knots=3201
2025-09-06 13:05:14,233 - Iter  40: obj=-212.355294, change=1.57e-03, α=0.000, ‖θ[1:]‖₁=11.836, h_range=[2.34e-01, 1.47e+01], num_knots=3199
2025-09-06 13:05:14,337 - Iter  50: obj=-226.453969, change=8.25e-04, α=0.000, ‖θ[1:]‖₁=13.299, h_range=[2.19e-01, 1.46e+01], num_knots=3200
2025-09-06 13:05:14,450 - Iter  60: obj=-238.345206, change=3.90e-04, α=0.000, ‖θ[1:]‖₁=14.604, h_range=[2.06e-01, 1.45e+01], num_knots=3200
2025-09-06 13:05:14,562 - Iter  70: obj=-248.905846, change=2.16e-04, α=0.000, ‖θ[1:]‖₁=15.824, h_range=[1.97e-01, 1.45e+01], num_knots=3200
2025-09-06 13:05:14,673 - Iter  80: obj=-258.578346, change=2.06e-04, α=0.000, ‖θ[1:]‖₁=16.982, h_range=[1.89e-01, 1.45e+01], num_knots=3201
2025-09-06 13:05:14,885 - Iter  90: obj=-267.570846, change=1.98e-04, α=0.000, ‖θ[1:]‖₁=18.112, h_range=[1.82e-01, 1.45e+01], num_knots=3199
2025-09-06 13:05:15,042 - Iter 100: obj=-275.984797, change=1.91e-04, α=0.000, ‖θ[1:]‖₁=19.250, h_range=[1.76e-01, 1.45e+01], num_knots=3195
2025-09-06 13:05:15,141 - Iter 110: obj=-283.918666, change=1.84e-04, α=0.000, ‖θ[1:]‖₁=20.393, h_range=[1.71e-01, 1.45e+01], num_knots=3189
2025-09-06 13:05:15,230 - Iter 120: obj=-291.469836, change=1.79e-04, α=0.000, ‖θ[1:]‖₁=21.525, h_range=[1.67e-01, 1.45e+01], num_knots=3190
2025-09-06 13:05:15,319 - Iter 130: obj=-298.694782, change=1.73e-04, α=0.000, ‖θ[1:]‖₁=22.647, h_range=[1.62e-01, 1.45e+01], num_knots=3184
2025-09-06 13:05:15,408 - Iter 140: obj=-305.644050, change=1.69e-04, α=0.000, ‖θ[1:]‖₁=23.751, h_range=[1.58e-01, 1.45e+01], num_knots=3182
2025-09-06 13:05:15,506 - Iter 150: obj=-312.348041, change=1.64e-04, α=0.000, ‖θ[1:]‖₁=24.838, h_range=[1.55e-01, 1.45e+01], num_knots=3177
2025-09-06 13:05:15,620 - Iter 160: obj=-318.827894, change=1.60e-04, α=0.000, ‖θ[1:]‖₁=25.912, h_range=[1.52e-01, 1.45e+01], num_knots=3172
2025-09-06 13:05:15,774 - Iter 170: obj=-325.096524, change=1.56e-04, α=0.000, ‖θ[1:]‖₁=26.975, h_range=[1.48e-01, 1.45e+01], num_knots=3161
2025-09-06 13:05:15,899 - Iter 180: obj=-331.173007, change=1.52e-04, α=0.000, ‖θ[1:]‖₁=28.027, h_range=[1.46e-01, 1.45e+01], num_knots=3161
2025-09-06 13:05:15,994 - Iter 190: obj=-337.074430, change=1.49e-04, α=0.000, ‖θ[1:]‖₁=29.065, h_range=[1.43e-01, 1.45e+01], num_knots=3156
2025-09-06 13:05:16,112 - Iter 200: obj=-342.813416, change=1.46e-04, α=0.000, ‖θ[1:]‖₁=30.089, h_range=[1.40e-01, 1.45e+01], num_knots=3155
2025-09-06 13:05:16,216 - Iter 210: obj=-348.397922, change=1.43e-04, α=0.000, ‖θ[1:]‖₁=31.099, h_range=[1.38e-01, 1.45e+01], num_knots=3153
2025-09-06 13:05:16,317 - Iter 220: obj=-353.833902, change=1.39e-04, α=0.000, ‖θ[1:]‖₁=32.098, h_range=[1.35e-01, 1.45e+01], num_knots=3147
2025-09-06 13:05:16,426 - Iter 230: obj=-359.131299, change=1.40e-04, α=0.000, ‖θ[1:]‖₁=33.083, h_range=[1.33e-01, 1.45e+01], num_knots=3149
2025-09-06 13:05:16,526 - Iter 240: obj=-364.297184, change=1.46e-04, α=0.000, ‖θ[1:]‖₁=34.055, h_range=[1.31e-01, 1.45e+01], num_knots=3148
2025-09-06 13:05:16,616 - Iter 250: obj=-369.333238, change=1.52e-04, α=0.000, ‖θ[1:]‖₁=35.016, h_range=[1.29e-01, 1.45e+01], num_knots=3146
2025-09-06 13:05:16,736 - Iter 260: obj=-374.246756, change=1.56e-04, α=0.000, ‖θ[1:]‖₁=35.965, h_range=[1.27e-01, 1.45e+01], num_knots=3142
2025-09-06 13:05:16,878 - Iter 270: obj=-379.039725, change=1.61e-04, α=0.000, ‖θ[1:]‖₁=36.904, h_range=[1.25e-01, 1.45e+01], num_knots=3143
2025-09-06 13:05:17,017 - Iter 280: obj=-383.718836, change=1.63e-04, α=0.000, ‖θ[1:]‖₁=37.832, h_range=[1.23e-01, 1.45e+01], num_knots=3143
2025-09-06 13:05:17,127 - Iter 290: obj=-388.289836, change=1.64e-04, α=0.000, ‖θ[1:]‖₁=38.748, h_range=[1.22e-01, 1.45e+01], num_knots=3137
2025-09-06 13:05:17,223 - Iter 300: obj=-392.755735, change=1.67e-04, α=0.000, ‖θ[1:]‖₁=39.652, h_range=[1.20e-01, 1.45e+01], num_knots=3138
2025-09-06 13:05:17,312 - Iter 310: obj=-397.117897, change=1.69e-04, α=0.000, ‖θ[1:]‖₁=40.547, h_range=[1.18e-01, 1.45e+01], num_knots=3140
2025-09-06 13:05:17,422 - Iter 320: obj=-401.383256, change=1.68e-04, α=0.000, ‖θ[1:]‖₁=41.430, h_range=[1.17e-01, 1.45e+01], num_knots=3140
2025-09-06 13:05:17,536 - Iter 330: obj=-405.553542, change=1.68e-04, α=0.000, ‖θ[1:]‖₁=42.302, h_range=[1.15e-01, 1.45e+01], num_knots=3140
2025-09-06 13:05:17,642 - Iter 340: obj=-409.631168, change=1.70e-04, α=0.000, ‖θ[1:]‖₁=43.165, h_range=[1.14e-01, 1.45e+01], num_knots=3137
2025-09-06 13:05:17,751 - Iter 350: obj=-413.619036, change=1.71e-04, α=0.000, ‖θ[1:]‖₁=44.019, h_range=[1.12e-01, 1.45e+01], num_knots=3138
2025-09-06 13:05:17,879 - Iter 360: obj=-417.520395, change=1.69e-04, α=0.000, ‖θ[1:]‖₁=44.863, h_range=[1.11e-01, 1.45e+01], num_knots=3136
2025-09-06 13:05:17,992 - Iter 370: obj=-421.338766, change=1.68e-04, α=0.000, ‖θ[1:]‖₁=45.696, h_range=[1.10e-01, 1.45e+01], num_knots=3134
2025-09-06 13:05:18,114 - Iter 380: obj=-425.075323, change=1.67e-04, α=0.000, ‖θ[1:]‖₁=46.521, h_range=[1.08e-01, 1.45e+01], num_knots=3138
2025-09-06 13:05:18,218 - Iter 390: obj=-428.733836, change=1.66e-04, α=0.000, ‖θ[1:]‖₁=47.335, h_range=[1.07e-01, 1.45e+01], num_knots=3141
2025-09-06 13:05:18,327 - Iter 400: obj=-432.317247, change=1.64e-04, α=0.000, ‖θ[1:]‖₁=48.140, h_range=[1.06e-01, 1.45e+01], num_knots=3140
2025-09-06 13:05:18,426 - Iter 410: obj=-435.827274, change=1.63e-04, α=0.000, ‖θ[1:]‖₁=48.936, h_range=[1.05e-01, 1.45e+01], num_knots=3141
2025-09-06 13:05:18,506 - Iter 420: obj=-439.266381, change=1.62e-04, α=0.000, ‖θ[1:]‖₁=49.723, h_range=[1.03e-01, 1.45e+01], num_knots=3145
2025-09-06 13:05:18,616 - Iter 430: obj=-442.637629, change=1.59e-04, α=0.000, ‖θ[1:]‖₁=50.500, h_range=[1.02e-01, 1.45e+01], num_knots=3145
2025-09-06 13:05:18,727 - Iter 440: obj=-445.942909, change=1.56e-04, α=0.000, ‖θ[1:]‖₁=51.268, h_range=[1.01e-01, 1.45e+01], num_knots=3143
2025-09-06 13:05:18,822 - Iter 450: obj=-449.184470, change=1.55e-04, α=0.000, ‖θ[1:]‖₁=52.027, h_range=[1.00e-01, 1.45e+01], num_knots=3140
2025-09-06 13:05:18,920 - Iter 460: obj=-452.364032, change=1.53e-04, α=0.000, ‖θ[1:]‖₁=52.777, h_range=[9.91e-02, 1.45e+01], num_knots=3138
2025-09-06 13:05:19,018 - Iter 470: obj=-455.483442, change=1.52e-04, α=0.000, ‖θ[1:]‖₁=53.519, h_range=[9.81e-02, 1.45e+01], num_knots=3138
2025-09-06 13:05:19,117 - Iter 480: obj=-458.544995, change=1.50e-04, α=0.000, ‖θ[1:]‖₁=54.252, h_range=[9.71e-02, 1.45e+01], num_knots=3135
2025-09-06 13:05:19,234 - Iter 490: obj=-461.550792, change=1.47e-04, α=0.000, ‖θ[1:]‖₁=54.976, h_range=[9.61e-02, 1.45e+01], num_knots=3131
2025-09-06 13:05:19,339 - Iter 500: obj=-464.502283, change=1.45e-04, α=0.000, ‖θ[1:]‖₁=55.692, h_range=[9.51e-02, 1.45e+01], num_knots=3130
2025-09-06 13:05:19,439 - Iter 510: obj=-467.401162, change=1.44e-04, α=0.000, ‖θ[1:]‖₁=56.399, h_range=[9.42e-02, 1.45e+01], num_knots=3129
2025-09-06 13:05:19,547 - Iter 520: obj=-470.249029, change=1.42e-04, α=0.000, ‖θ[1:]‖₁=57.098, h_range=[9.33e-02, 1.45e+01], num_knots=3124
2025-09-06 13:05:19,646 - Iter 530: obj=-473.047524, change=1.40e-04, α=0.000, ‖θ[1:]‖₁=57.790, h_range=[9.24e-02, 1.45e+01], num_knots=3122
2025-09-06 13:05:19,761 - Iter 540: obj=-475.798396, change=1.38e-04, α=0.000, ‖θ[1:]‖₁=58.473, h_range=[9.16e-02, 1.45e+01], num_knots=3116
2025-09-06 13:05:19,879 - Iter 550: obj=-478.502948, change=1.36e-04, α=0.000, ‖θ[1:]‖₁=59.149, h_range=[9.08e-02, 1.45e+01], num_knots=3114
2025-09-06 13:05:20,074 - Iter 560: obj=-481.162754, change=1.35e-04, α=0.000, ‖θ[1:]‖₁=59.816, h_range=[8.99e-02, 1.45e+01], num_knots=3113
2025-09-06 13:05:20,173 - Iter 570: obj=-483.779239, change=1.32e-04, α=0.000, ‖θ[1:]‖₁=60.477, h_range=[8.92e-02, 1.45e+01], num_knots=3114
2025-09-06 13:05:20,268 - Iter 580: obj=-486.353450, change=1.32e-04, α=0.000, ‖θ[1:]‖₁=61.129, h_range=[8.84e-02, 1.45e+01], num_knots=3112
2025-09-06 13:05:20,384 - Iter 590: obj=-488.886922, change=1.29e-04, α=0.000, ‖θ[1:]‖₁=61.775, h_range=[8.76e-02, 1.45e+01], num_knots=3111
2025-09-06 13:05:20,488 - Iter 600: obj=-491.380811, change=1.27e-04, α=0.000, ‖θ[1:]‖₁=62.413, h_range=[8.69e-02, 1.45e+01], num_knots=3110
2025-09-06 13:05:20,611 - Iter 610: obj=-493.836380, change=1.25e-04, α=0.000, ‖θ[1:]‖₁=63.043, h_range=[8.62e-02, 1.45e+01], num_knots=3109
