2025-09-06 13:22:47,347 - ProximalAdaGrad: lam=0.075, alpha=0.0001, eps=1e-08, rho=1.0, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-06 13:22:47,380 - Iter   0: obj=0.000000, change=1.45e-01, α=0.000, ‖θ[1:]‖₁=3.427, h_range=[1.98e-02, 1.69e+01], num_knots=3202
2025-09-06 13:22:47,594 - Iter  10: obj=-113.458009, change=6.02e-03, α=0.000, ‖θ[1:]‖₁=17.289, h_range=[1.35e-02, 1.54e+01], num_knots=3201
2025-09-06 13:22:47,682 - Iter  20: obj=-157.529645, change=4.00e-03, α=0.000, ‖θ[1:]‖₁=29.451, h_range=[1.14e-02, 1.52e+01], num_knots=3202
2025-09-06 13:22:47,780 - Iter  30: obj=-182.823041, change=2.53e-03, α=0.000, ‖θ[1:]‖₁=39.363, h_range=[1.00e-02, 1.50e+01], num_knots=3202
2025-09-06 13:22:47,874 - Iter  40: obj=-199.394834, change=1.53e-03, α=0.000, ‖θ[1:]‖₁=47.655, h_range=[8.98e-03, 1.49e+01], num_knots=3201
2025-09-06 13:22:47,958 - Iter  50: obj=-211.794973, change=8.67e-04, α=0.000, ‖θ[1:]‖₁=54.796, h_range=[8.21e-03, 1.48e+01], num_knots=3201
2025-09-06 13:22:48,039 - Iter  60: obj=-222.049745, change=7.75e-04, α=0.000, ‖θ[1:]‖₁=61.111, h_range=[7.61e-03, 1.48e+01], num_knots=3201
2025-09-06 13:22:48,119 - Iter  70: obj=-231.062951, change=7.41e-04, α=0.000, ‖θ[1:]‖₁=66.825, h_range=[7.12e-03, 1.47e+01], num_knots=3201
2025-09-06 13:22:48,200 - Iter  80: obj=-239.246610, change=7.14e-04, α=0.000, ‖θ[1:]‖₁=72.094, h_range=[6.71e-03, 1.47e+01], num_knots=3201
2025-09-06 13:22:48,286 - Iter  90: obj=-246.798847, change=6.90e-04, α=0.000, ‖θ[1:]‖₁=77.025, h_range=[6.36e-03, 1.47e+01], num_knots=3201
2025-09-06 13:22:48,374 - Iter 100: obj=-253.824724, change=6.69e-04, α=0.000, ‖θ[1:]‖₁=81.690, h_range=[6.05e-03, 1.48e+01], num_knots=3201
2025-09-06 13:22:48,469 - Iter 110: obj=-260.372023, change=6.51e-04, α=0.000, ‖θ[1:]‖₁=86.278, h_range=[5.77e-03, 1.48e+01], num_knots=3199
2025-09-06 13:22:48,579 - Iter 120: obj=-266.438838, change=6.33e-04, α=0.000, ‖θ[1:]‖₁=91.109, h_range=[5.52e-03, 1.48e+01], num_knots=3199
2025-09-06 13:22:48,672 - Iter 130: obj=-272.096056, change=6.17e-04, α=0.000, ‖θ[1:]‖₁=95.980, h_range=[5.28e-03, 1.48e+01], num_knots=3196
2025-09-06 13:22:48,771 - Iter 140: obj=-277.387672, change=6.02e-04, α=0.000, ‖θ[1:]‖₁=100.841, h_range=[5.07e-03, 1.48e+01], num_knots=3199
2025-09-06 13:22:48,870 - Iter 150: obj=-282.350584, change=5.87e-04, α=0.000, ‖θ[1:]‖₁=105.644, h_range=[4.86e-03, 1.48e+01], num_knots=3199
2025-09-06 13:22:48,953 - Iter 160: obj=-287.017421, change=5.73e-04, α=0.000, ‖θ[1:]‖₁=110.364, h_range=[4.68e-03, 1.48e+01], num_knots=3197
2025-09-06 13:22:49,038 - Iter 170: obj=-291.412762, change=5.60e-04, α=0.000, ‖θ[1:]‖₁=115.001, h_range=[4.50e-03, 1.48e+01], num_knots=3198
2025-09-06 13:22:49,117 - Iter 180: obj=-295.560218, change=5.47e-04, α=0.000, ‖θ[1:]‖₁=119.551, h_range=[4.34e-03, 1.48e+01], num_knots=3196
2025-09-06 13:22:49,210 - Iter 190: obj=-299.481263, change=5.35e-04, α=0.000, ‖θ[1:]‖₁=124.006, h_range=[4.18e-03, 1.48e+01], num_knots=3196
2025-09-06 13:22:49,287 - Iter 200: obj=-303.195234, change=5.23e-04, α=0.000, ‖θ[1:]‖₁=128.364, h_range=[4.04e-03, 1.49e+01], num_knots=3195
2025-09-06 13:22:49,367 - Iter 210: obj=-306.718705, change=5.11e-04, α=0.000, ‖θ[1:]‖₁=132.626, h_range=[3.90e-03, 1.49e+01], num_knots=3195
2025-09-06 13:22:49,448 - Iter 220: obj=-310.067655, change=5.00e-04, α=0.000, ‖θ[1:]‖₁=136.792, h_range=[3.77e-03, 1.49e+01], num_knots=3196
2025-09-06 13:22:49,540 - Iter 230: obj=-313.255873, change=4.89e-04, α=0.000, ‖θ[1:]‖₁=140.868, h_range=[3.65e-03, 1.49e+01], num_knots=3194
2025-09-06 13:22:49,632 - Iter 240: obj=-316.297075, change=4.78e-04, α=0.000, ‖θ[1:]‖₁=144.847, h_range=[3.53e-03, 1.49e+01], num_knots=3194
2025-09-06 13:22:49,724 - Iter 250: obj=-319.203022, change=4.68e-04, α=0.000, ‖θ[1:]‖₁=148.732, h_range=[3.42e-03, 1.49e+01], num_knots=3195
2025-09-06 13:22:49,806 - Iter 260: obj=-321.984461, change=4.58e-04, α=0.000, ‖θ[1:]‖₁=152.523, h_range=[3.32e-03, 1.49e+01], num_knots=3194
2025-09-06 13:22:49,879 - Iter 270: obj=-324.651122, change=4.48e-04, α=0.000, ‖θ[1:]‖₁=156.223, h_range=[3.22e-03, 1.49e+01], num_knots=3195
2025-09-06 13:22:49,966 - Iter 280: obj=-327.211453, change=4.39e-04, α=0.000, ‖θ[1:]‖₁=159.838, h_range=[3.13e-03, 1.49e+01], num_knots=3195
2025-09-06 13:22:50,045 - Iter 290: obj=-329.673640, change=4.30e-04, α=0.000, ‖θ[1:]‖₁=163.369, h_range=[3.04e-03, 1.49e+01], num_knots=3192
2025-09-06 13:22:50,129 - Iter 300: obj=-332.043057, change=4.21e-04, α=0.000, ‖θ[1:]‖₁=166.831, h_range=[2.96e-03, 1.49e+01], num_knots=3189
2025-09-06 13:22:50,227 - Iter 310: obj=-334.327221, change=4.12e-04, α=0.000, ‖θ[1:]‖₁=170.224, h_range=[2.88e-03, 1.49e+01], num_knots=3193
2025-09-06 13:22:50,311 - Iter 320: obj=-336.533036, change=4.04e-04, α=0.000, ‖θ[1:]‖₁=173.544, h_range=[2.81e-03, 1.49e+01], num_knots=3190
2025-09-06 13:22:50,400 - Iter 330: obj=-338.666439, change=3.96e-04, α=0.000, ‖θ[1:]‖₁=176.791, h_range=[2.74e-03, 1.49e+01], num_knots=3186
2025-09-06 13:22:50,481 - Iter 340: obj=-340.732858, change=3.94e-04, α=0.000, ‖θ[1:]‖₁=179.965, h_range=[2.67e-03, 1.49e+01], num_knots=3186
2025-09-06 13:22:50,580 - Iter 350: obj=-342.736983, change=4.14e-04, α=0.000, ‖θ[1:]‖₁=183.070, h_range=[2.61e-03, 1.49e+01], num_knots=3186
2025-09-06 13:22:50,669 - Iter 360: obj=-344.683108, change=4.33e-04, α=0.000, ‖θ[1:]‖₁=186.106, h_range=[2.55e-03, 1.49e+01], num_knots=3182
2025-09-06 13:22:50,754 - Iter 370: obj=-346.575337, change=4.20e-04, α=0.000, ‖θ[1:]‖₁=189.077, h_range=[2.49e-03, 1.49e+01], num_knots=3186
2025-09-06 13:22:50,841 - Iter 380: obj=-348.417227, change=4.38e-04, α=0.000, ‖θ[1:]‖₁=191.986, h_range=[2.43e-03, 1.49e+01], num_knots=3190
2025-09-06 13:22:50,927 - Iter 390: obj=-350.212131, change=3.63e-04, α=0.000, ‖θ[1:]‖₁=194.835, h_range=[2.38e-03, 1.49e+01], num_knots=3188
2025-09-06 13:22:51,040 - Iter 400: obj=-351.963083, change=3.79e-04, α=0.000, ‖θ[1:]‖₁=197.625, h_range=[2.33e-03, 1.49e+01], num_knots=3192
2025-09-06 13:22:51,155 - Iter 410: obj=-353.672507, change=3.95e-04, α=0.000, ‖θ[1:]‖₁=200.359, h_range=[2.28e-03, 1.49e+01], num_knots=3192
2025-09-06 13:22:51,232 - Iter 420: obj=-355.343091, change=4.10e-04, α=0.000, ‖θ[1:]‖₁=203.039, h_range=[2.24e-03, 1.50e+01], num_knots=3188
2025-09-06 13:22:51,308 - Iter 430: obj=-356.977012, change=4.25e-04, α=0.000, ‖θ[1:]‖₁=205.667, h_range=[2.19e-03, 1.50e+01], num_knots=3188
2025-09-06 13:22:51,394 - Iter 440: obj=-358.575674, change=4.40e-04, α=0.000, ‖θ[1:]‖₁=208.252, h_range=[2.15e-03, 1.50e+01], num_knots=3192
2025-09-06 13:22:51,478 - Iter 450: obj=-360.142113, change=4.40e-04, α=0.000, ‖θ[1:]‖₁=210.791, h_range=[2.11e-03, 1.50e+01], num_knots=3188
2025-09-06 13:22:51,572 - Iter 460: obj=-361.678049, change=4.43e-04, α=0.000, ‖θ[1:]‖₁=213.291, h_range=[2.07e-03, 1.50e+01], num_knots=3187
2025-09-06 13:22:51,685 - Iter 470: obj=-363.185232, change=4.17e-04, α=0.000, ‖θ[1:]‖₁=215.750, h_range=[2.04e-03, 1.50e+01], num_knots=3180
2025-09-06 13:22:51,805 - Iter 480: obj=-364.665929, change=4.30e-04, α=0.000, ‖θ[1:]‖₁=218.159, h_range=[2.00e-03, 1.50e+01], num_knots=3178
2025-09-06 13:22:51,906 - Iter 490: obj=-366.121627, change=4.42e-04, α=0.000, ‖θ[1:]‖₁=220.520, h_range=[1.97e-03, 1.50e+01], num_knots=3176
