2025-09-07 11:45:07,522 - ProximalAdaGrad: lam=40, alpha=1e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=0, n_samples=3200, K=3201
2025-09-07 11:45:07,553 - Iter   0: obj=0.000000, change=7.02e-02, α=0.000, ‖θ[1:]‖₁=0.587, h_range=[1.49e+01, 2.83e+01], num_knots=3098
2025-09-07 11:45:07,776 - Iter  10: obj=-1813.935863, change=5.70e-02, α=0.000, ‖θ[1:]‖₁=4.093, h_range=[1.06e+01, 2.83e+01], num_knots=3015
2025-09-07 11:45:07,866 - Iter  20: obj=-2062.276603, change=2.46e-02, α=0.000, ‖θ[1:]‖₁=5.081, h_range=[8.70e+00, 2.83e+01], num_knots=2860
2025-09-07 11:45:07,964 - Iter  30: obj=-2154.794264, change=1.42e-02, α=0.000, ‖θ[1:]‖₁=5.421, h_range=[7.93e+00, 2.83e+01], num_knots=2687
2025-09-07 11:45:08,069 - Iter  40: obj=-2210.318508, change=1.03e-02, α=0.000, ‖θ[1:]‖₁=5.611, h_range=[7.47e+00, 2.83e+01], num_knots=2525
2025-09-07 11:45:08,242 - Iter  50: obj=-2247.571936, change=8.33e-03, α=0.000, ‖θ[1:]‖₁=5.758, h_range=[7.14e+00, 2.83e+01], num_knots=2381
2025-09-07 11:45:08,354 - Iter  60: obj=-2274.282566, change=6.89e-03, α=0.000, ‖θ[1:]‖₁=5.883, h_range=[6.87e+00, 2.83e+01], num_knots=2289
2025-09-07 11:45:08,456 - Iter  70: obj=-2294.526838, change=5.88e-03, α=0.000, ‖θ[1:]‖₁=5.992, h_range=[6.66e+00, 2.83e+01], num_knots=2222
2025-09-07 11:45:08,570 - Iter  80: obj=-2310.474935, change=5.13e-03, α=0.000, ‖θ[1:]‖₁=6.091, h_range=[6.48e+00, 2.83e+01], num_knots=2164
2025-09-07 11:45:08,701 - Iter  90: obj=-2323.438996, change=4.54e-03, α=0.000, ‖θ[1:]‖₁=6.180, h_range=[6.33e+00, 2.83e+01], num_knots=2120
2025-09-07 11:45:08,818 - Iter 100: obj=-2334.239924, change=4.07e-03, α=0.000, ‖θ[1:]‖₁=6.262, h_range=[6.19e+00, 2.83e+01], num_knots=2082
2025-09-07 11:45:09,022 - Iter 110: obj=-2343.414781, change=3.70e-03, α=0.000, ‖θ[1:]‖₁=6.337, h_range=[6.07e+00, 2.83e+01], num_knots=2047
2025-09-07 11:45:09,124 - Iter 120: obj=-2351.317790, change=3.37e-03, α=0.000, ‖θ[1:]‖₁=6.406, h_range=[5.97e+00, 2.83e+01], num_knots=2011
2025-09-07 11:45:09,281 - Iter 130: obj=-2358.215130, change=3.04e-03, α=0.000, ‖θ[1:]‖₁=6.470, h_range=[5.87e+00, 2.83e+01], num_knots=1980
2025-09-07 11:45:09,383 - Iter 140: obj=-2364.304277, change=2.81e-03, α=0.000, ‖θ[1:]‖₁=6.529, h_range=[5.79e+00, 2.83e+01], num_knots=1946
2025-09-07 11:45:09,524 - Iter 150: obj=-2369.715161, change=2.60e-03, α=0.000, ‖θ[1:]‖₁=6.584, h_range=[5.71e+00, 2.83e+01], num_knots=1917
2025-09-07 11:45:09,634 - Iter 160: obj=-2374.551915, change=2.38e-03, α=0.000, ‖θ[1:]‖₁=6.635, h_range=[5.64e+00, 2.83e+01], num_knots=1888
2025-09-07 11:45:09,714 - Iter 170: obj=-2378.897537, change=2.22e-03, α=0.000, ‖θ[1:]‖₁=6.683, h_range=[5.58e+00, 2.83e+01], num_knots=1861
2025-09-07 11:45:09,816 - Iter 180: obj=-2382.823126, change=2.06e-03, α=0.000, ‖θ[1:]‖₁=6.728, h_range=[5.52e+00, 2.83e+01], num_knots=1833
2025-09-07 11:45:09,918 - Iter 190: obj=-2386.391564, change=1.92e-03, α=0.000, ‖θ[1:]‖₁=6.769, h_range=[5.47e+00, 2.83e+01], num_knots=1807
2025-09-07 11:45:10,020 - Iter 200: obj=-2389.658706, change=1.78e-03, α=0.000, ‖θ[1:]‖₁=6.808, h_range=[5.42e+00, 2.83e+01], num_knots=1779
2025-09-07 11:45:10,139 - Iter 210: obj=-2392.661783, change=1.68e-03, α=0.000, ‖θ[1:]‖₁=6.845, h_range=[5.37e+00, 2.83e+01], num_knots=1758
2025-09-07 11:45:10,247 - Iter 220: obj=-2395.434637, change=1.60e-03, α=0.000, ‖θ[1:]‖₁=6.879, h_range=[5.33e+00, 2.83e+01], num_knots=1736
2025-09-07 11:45:10,345 - Iter 230: obj=-2398.005937, change=1.49e-03, α=0.000, ‖θ[1:]‖₁=6.911, h_range=[5.28e+00, 2.83e+01], num_knots=1717
2025-09-07 11:45:10,462 - Iter 240: obj=-2400.400243, change=1.41e-03, α=0.000, ‖θ[1:]‖₁=6.942, h_range=[5.25e+00, 2.83e+01], num_knots=1698
2025-09-07 11:45:10,566 - Iter 250: obj=-2402.636681, change=1.34e-03, α=0.000, ‖θ[1:]‖₁=6.970, h_range=[5.21e+00, 2.83e+01], num_knots=1677
2025-09-07 11:45:10,684 - Iter 260: obj=-2404.729115, change=1.27e-03, α=0.000, ‖θ[1:]‖₁=6.998, h_range=[5.18e+00, 2.83e+01], num_knots=1657
2025-09-07 11:45:10,792 - Iter 270: obj=-2406.687443, change=1.25e-03, α=0.000, ‖θ[1:]‖₁=7.024, h_range=[5.15e+00, 2.83e+01], num_knots=1640
2025-09-07 11:45:10,877 - Iter 280: obj=-2408.518781, change=1.19e-03, α=0.000, ‖θ[1:]‖₁=7.049, h_range=[5.11e+00, 2.83e+01], num_knots=1621
2025-09-07 11:45:10,970 - Iter 290: obj=-2410.240386, change=1.13e-03, α=0.000, ‖θ[1:]‖₁=7.073, h_range=[5.09e+00, 2.83e+01], num_knots=1602
2025-09-07 11:45:11,061 - Iter 300: obj=-2411.863180, change=1.08e-03, α=0.000, ‖θ[1:]‖₁=7.096, h_range=[5.06e+00, 2.83e+01], num_knots=1587
2025-09-07 11:45:11,158 - Iter 310: obj=-2413.395065, change=1.03e-03, α=0.000, ‖θ[1:]‖₁=7.118, h_range=[5.03e+00, 2.83e+01], num_knots=1574
2025-09-07 11:45:11,271 - Iter 320: obj=-2414.844310, change=1.01e-03, α=0.000, ‖θ[1:]‖₁=7.139, h_range=[5.01e+00, 2.83e+01], num_knots=1556
2025-09-07 11:45:11,373 - Iter 330: obj=-2416.216543, change=9.43e-04, α=0.000, ‖θ[1:]‖₁=7.159, h_range=[4.98e+00, 2.83e+01], num_knots=1543
2025-09-07 11:45:11,469 - Iter 340: obj=-2417.519708, change=9.04e-04, α=0.000, ‖θ[1:]‖₁=7.179, h_range=[4.96e+00, 2.83e+01], num_knots=1529
2025-09-07 11:45:11,561 - Iter 350: obj=-2418.760960, change=8.67e-04, α=0.000, ‖θ[1:]‖₁=7.197, h_range=[4.94e+00, 2.83e+01], num_knots=1515
2025-09-07 11:45:11,657 - Iter 360: obj=-2419.943723, change=8.35e-04, α=0.000, ‖θ[1:]‖₁=7.215, h_range=[4.92e+00, 2.83e+01], num_knots=1501
2025-09-07 11:45:11,769 - Iter 370: obj=-2421.072767, change=8.03e-04, α=0.000, ‖θ[1:]‖₁=7.232, h_range=[4.90e+00, 2.83e+01], num_knots=1489
2025-09-07 11:45:11,851 - Iter 380: obj=-2422.150312, change=7.72e-04, α=0.000, ‖θ[1:]‖₁=7.248, h_range=[4.88e+00, 2.83e+01], num_knots=1475
2025-09-07 11:45:11,955 - Iter 390: obj=-2423.179271, change=7.45e-04, α=0.000, ‖θ[1:]‖₁=7.264, h_range=[4.86e+00, 2.83e+01], num_knots=1466
2025-09-07 11:45:12,059 - Iter 400: obj=-2424.167307, change=7.08e-04, α=0.000, ‖θ[1:]‖₁=7.280, h_range=[4.84e+00, 2.83e+01], num_knots=1458
2025-09-07 11:45:12,157 - Iter 410: obj=-2425.113228, change=7.01e-04, α=0.000, ‖θ[1:]‖₁=7.294, h_range=[4.82e+00, 2.83e+01], num_knots=1441
2025-09-07 11:45:12,268 - Iter 420: obj=-2426.020443, change=6.57e-04, α=0.000, ‖θ[1:]‖₁=7.309, h_range=[4.81e+00, 2.83e+01], num_knots=1430
2025-09-07 11:45:12,360 - Iter 430: obj=-2426.887259, change=6.42e-04, α=0.000, ‖θ[1:]‖₁=7.323, h_range=[4.79e+00, 2.83e+01], num_knots=1418
2025-09-07 11:45:12,482 - Iter 440: obj=-2427.719503, change=6.07e-04, α=0.000, ‖θ[1:]‖₁=7.336, h_range=[4.78e+00, 2.83e+01], num_knots=1412
2025-09-07 11:45:12,605 - Iter 450: obj=-2428.519104, change=5.94e-04, α=0.000, ‖θ[1:]‖₁=7.349, h_range=[4.76e+00, 2.83e+01], num_knots=1399
2025-09-07 11:45:12,694 - Iter 460: obj=-2429.287526, change=5.81e-04, α=0.000, ‖θ[1:]‖₁=7.362, h_range=[4.75e+00, 2.83e+01], num_knots=1384
2025-09-07 11:45:12,812 - Iter 470: obj=-2430.023480, change=5.47e-04, α=0.000, ‖θ[1:]‖₁=7.375, h_range=[4.74e+00, 2.83e+01], num_knots=1374
2025-09-07 11:45:12,921 - Iter 480: obj=-2430.733347, change=5.32e-04, α=0.000, ‖θ[1:]‖₁=7.387, h_range=[4.72e+00, 2.83e+01], num_knots=1365
2025-09-07 11:45:13,014 - Iter 490: obj=-2431.420256, change=5.21e-04, α=0.000, ‖θ[1:]‖₁=7.398, h_range=[4.71e+00, 2.83e+01], num_knots=1354
2025-09-07 11:45:13,114 - Iter 500: obj=-2432.080278, change=5.04e-04, α=0.000, ‖θ[1:]‖₁=7.410, h_range=[4.70e+00, 2.83e+01], num_knots=1344
2025-09-07 11:45:13,226 - Iter 510: obj=-2432.717030, change=4.88e-04, α=0.000, ‖θ[1:]‖₁=7.421, h_range=[4.69e+00, 2.83e+01], num_knots=1334
2025-09-07 11:45:13,337 - Iter 520: obj=-2433.334306, change=4.61e-04, α=0.000, ‖θ[1:]‖₁=7.431, h_range=[4.68e+00, 2.83e+01], num_knots=1328
2025-09-07 11:45:13,444 - Iter 530: obj=-2433.929388, change=4.54e-04, α=0.000, ‖θ[1:]‖₁=7.442, h_range=[4.67e+00, 2.83e+01], num_knots=1318
2025-09-07 11:45:13,544 - Iter 540: obj=-2434.505105, change=4.52e-04, α=0.000, ‖θ[1:]‖₁=7.452, h_range=[4.65e+00, 2.83e+01], num_knots=1307
2025-09-07 11:45:13,646 - Iter 550: obj=-2435.062919, change=4.37e-04, α=0.000, ‖θ[1:]‖₁=7.462, h_range=[4.64e+00, 2.83e+01], num_knots=1299
2025-09-07 11:45:13,744 - Iter 560: obj=-2435.601621, change=4.17e-04, α=0.000, ‖θ[1:]‖₁=7.471, h_range=[4.63e+00, 2.83e+01], num_knots=1289
2025-09-07 11:45:13,857 - Iter 570: obj=-2436.125255, change=4.02e-04, α=0.000, ‖θ[1:]‖₁=7.481, h_range=[4.63e+00, 2.83e+01], num_knots=1282
2025-09-07 11:45:13,982 - Iter 580: obj=-2436.633401, change=4.00e-04, α=0.000, ‖θ[1:]‖₁=7.490, h_range=[4.62e+00, 2.83e+01], num_knots=1272
2025-09-07 11:45:14,100 - Iter 590: obj=-2437.125605, change=3.86e-04, α=0.000, ‖θ[1:]‖₁=7.499, h_range=[4.61e+00, 2.83e+01], num_knots=1264
2025-09-07 11:45:14,223 - Iter 600: obj=-2437.604160, change=3.70e-04, α=0.000, ‖θ[1:]‖₁=7.507, h_range=[4.60e+00, 2.83e+01], num_knots=1262
2025-09-07 11:45:14,319 - Iter 610: obj=-2438.070479, change=3.63e-04, α=0.000, ‖θ[1:]‖₁=7.515, h_range=[4.59e+00, 2.83e+01], num_knots=1256
2025-09-07 11:45:14,442 - Iter 620: obj=-2438.525534, change=3.59e-04, α=0.000, ‖θ[1:]‖₁=7.523, h_range=[4.58e+00, 2.83e+01], num_knots=1245
2025-09-07 11:45:14,703 - Iter 630: obj=-2438.967201, change=3.52e-04, α=0.000, ‖θ[1:]‖₁=7.531, h_range=[4.57e+00, 2.83e+01], num_knots=1234
2025-09-07 11:45:14,803 - Iter 640: obj=-2439.396834, change=3.43e-04, α=0.000, ‖θ[1:]‖₁=7.539, h_range=[4.57e+00, 2.83e+01], num_knots=1228
2025-09-07 11:45:14,898 - Iter 650: obj=-2439.815902, change=3.38e-04, α=0.000, ‖θ[1:]‖₁=7.547, h_range=[4.56e+00, 2.83e+01], num_knots=1218
2025-09-07 11:45:14,999 - Iter 660: obj=-2440.224006, change=3.24e-04, α=0.000, ‖θ[1:]‖₁=7.554, h_range=[4.55e+00, 2.83e+01], num_knots=1210
2025-09-07 11:45:15,116 - Iter 670: obj=-2440.621676, change=3.18e-04, α=0.000, ‖θ[1:]‖₁=7.561, h_range=[4.54e+00, 2.83e+01], num_knots=1206
2025-09-07 11:45:15,241 - Iter 680: obj=-2441.010403, change=3.14e-04, α=0.000, ‖θ[1:]‖₁=7.568, h_range=[4.54e+00, 2.83e+01], num_knots=1201
2025-09-07 11:45:15,412 - Iter 690: obj=-2441.390165, change=3.07e-04, α=0.000, ‖θ[1:]‖₁=7.575, h_range=[4.53e+00, 2.83e+01], num_knots=1197
2025-09-07 11:45:15,545 - Iter 700: obj=-2441.761569, change=3.02e-04, α=0.000, ‖θ[1:]‖₁=7.582, h_range=[4.52e+00, 2.83e+01], num_knots=1192
2025-09-07 11:45:15,674 - Iter 710: obj=-2442.124638, change=2.95e-04, α=0.000, ‖θ[1:]‖₁=7.588, h_range=[4.52e+00, 2.83e+01], num_knots=1186
2025-09-07 11:45:15,764 - Iter 720: obj=-2442.480066, change=2.88e-04, α=0.000, ‖θ[1:]‖₁=7.595, h_range=[4.51e+00, 2.83e+01], num_knots=1180
2025-09-07 11:45:15,899 - Iter 730: obj=-2442.827223, change=2.84e-04, α=0.000, ‖θ[1:]‖₁=7.601, h_range=[4.50e+00, 2.83e+01], num_knots=1172
2025-09-07 11:45:16,015 - Iter 740: obj=-2443.166764, change=2.76e-04, α=0.000, ‖θ[1:]‖₁=7.607, h_range=[4.50e+00, 2.83e+01], num_knots=1164
2025-09-07 11:45:16,137 - Iter 750: obj=-2443.499055, change=2.68e-04, α=0.000, ‖θ[1:]‖₁=7.613, h_range=[4.49e+00, 2.83e+01], num_knots=1156
2025-09-07 11:45:16,236 - Iter 760: obj=-2443.824117, change=2.61e-04, α=0.000, ‖θ[1:]‖₁=7.619, h_range=[4.48e+00, 2.83e+01], num_knots=1155
2025-09-07 11:45:16,346 - Iter 770: obj=-2444.142877, change=2.64e-04, α=0.000, ‖θ[1:]‖₁=7.625, h_range=[4.48e+00, 2.83e+01], num_knots=1149
2025-09-07 11:45:16,441 - Iter 780: obj=-2444.455204, change=2.54e-04, α=0.000, ‖θ[1:]‖₁=7.631, h_range=[4.47e+00, 2.83e+01], num_knots=1146
2025-09-07 11:45:16,546 - Iter 790: obj=-2444.760505, change=2.47e-04, α=0.000, ‖θ[1:]‖₁=7.636, h_range=[4.47e+00, 2.83e+01], num_knots=1140
2025-09-07 11:45:16,635 - Iter 800: obj=-2445.060586, change=2.43e-04, α=0.000, ‖θ[1:]‖₁=7.641, h_range=[4.46e+00, 2.83e+01], num_knots=1137
2025-09-07 11:45:16,758 - Iter 810: obj=-2445.355593, change=2.36e-04, α=0.000, ‖θ[1:]‖₁=7.647, h_range=[4.46e+00, 2.83e+01], num_knots=1132
2025-09-07 11:45:16,889 - Iter 820: obj=-2445.644660, change=2.40e-04, α=0.000, ‖θ[1:]‖₁=7.652, h_range=[4.45e+00, 2.83e+01], num_knots=1123
2025-09-07 11:45:17,042 - Iter 830: obj=-2445.925810, change=2.41e-04, α=0.000, ‖θ[1:]‖₁=7.657, h_range=[4.45e+00, 2.83e+01], num_knots=1118
2025-09-07 11:45:17,156 - Iter 840: obj=-2446.200503, change=2.41e-04, α=0.000, ‖θ[1:]‖₁=7.662, h_range=[4.44e+00, 2.83e+01], num_knots=1109
2025-09-07 11:45:17,255 - Iter 850: obj=-2446.468006, change=2.34e-04, α=0.000, ‖θ[1:]‖₁=7.668, h_range=[4.44e+00, 2.83e+01], num_knots=1104
2025-09-07 11:45:17,363 - Iter 860: obj=-2446.730664, change=2.23e-04, α=0.000, ‖θ[1:]‖₁=7.673, h_range=[4.43e+00, 2.83e+01], num_knots=1098
2025-09-07 11:45:17,455 - Iter 870: obj=-2446.988007, change=2.29e-04, α=0.000, ‖θ[1:]‖₁=7.678, h_range=[4.43e+00, 2.83e+01], num_knots=1090
2025-09-07 11:45:17,552 - Iter 880: obj=-2447.239129, change=2.17e-04, α=0.000, ‖θ[1:]‖₁=7.683, h_range=[4.42e+00, 2.83e+01], num_knots=1087
2025-09-07 11:45:17,642 - Iter 890: obj=-2447.486915, change=2.10e-04, α=0.000, ‖θ[1:]‖₁=7.687, h_range=[4.42e+00, 2.83e+01], num_knots=1085
2025-09-07 11:45:17,742 - Iter 900: obj=-2447.728942, change=2.17e-04, α=0.000, ‖θ[1:]‖₁=7.692, h_range=[4.41e+00, 2.83e+01], num_knots=1080
2025-09-07 11:45:17,831 - Iter 910: obj=-2447.967094, change=2.07e-04, α=0.000, ‖θ[1:]‖₁=7.697, h_range=[4.41e+00, 2.83e+01], num_knots=1078
2025-09-07 11:45:17,931 - Iter 920: obj=-2448.201842, change=2.00e-04, α=0.000, ‖θ[1:]‖₁=7.701, h_range=[4.40e+00, 2.83e+01], num_knots=1075
2025-09-07 11:45:18,069 - Iter 930: obj=-2448.432418, change=1.96e-04, α=0.000, ‖θ[1:]‖₁=7.705, h_range=[4.40e+00, 2.83e+01], num_knots=1069
2025-09-07 11:45:18,181 - Iter 940: obj=-2448.657595, change=1.95e-04, α=0.000, ‖θ[1:]‖₁=7.710, h_range=[4.39e+00, 2.83e+01], num_knots=1068
2025-09-07 11:45:18,288 - Iter 950: obj=-2448.879086, change=1.97e-04, α=0.000, ‖θ[1:]‖₁=7.714, h_range=[4.39e+00, 2.83e+01], num_knots=1060
2025-09-07 11:45:18,389 - Iter 960: obj=-2449.096361, change=1.94e-04, α=0.000, ‖θ[1:]‖₁=7.718, h_range=[4.38e+00, 2.83e+01], num_knots=1054
2025-09-07 11:45:18,525 - Iter 970: obj=-2449.309326, change=1.92e-04, α=0.000, ‖θ[1:]‖₁=7.722, h_range=[4.38e+00, 2.83e+01], num_knots=1047
2025-09-07 11:45:18,648 - Iter 980: obj=-2449.517770, change=1.99e-04, α=0.000, ‖θ[1:]‖₁=7.727, h_range=[4.38e+00, 2.83e+01], num_knots=1042
2025-09-07 11:45:18,746 - Iter 990: obj=-2449.722941, change=1.86e-04, α=0.000, ‖θ[1:]‖₁=7.731, h_range=[4.37e+00, 2.83e+01], num_knots=1040
2025-09-07 11:45:18,840 - Iter 1000: obj=-2449.925273, change=1.81e-04, α=0.000, ‖θ[1:]‖₁=7.735, h_range=[4.37e+00, 2.83e+01], num_knots=1035
2025-09-07 11:45:18,943 - Iter 1010: obj=-2450.123444, change=1.75e-04, α=0.000, ‖θ[1:]‖₁=7.739, h_range=[4.36e+00, 2.83e+01], num_knots=1031
2025-09-07 11:45:19,042 - Iter 1020: obj=-2450.318346, change=1.71e-04, α=0.000, ‖θ[1:]‖₁=7.742, h_range=[4.36e+00, 2.83e+01], num_knots=1026
2025-09-07 11:45:19,157 - Iter 1030: obj=-2450.510107, change=1.66e-04, α=0.000, ‖θ[1:]‖₁=7.746, h_range=[4.36e+00, 2.83e+01], num_knots=1022
2025-09-07 11:45:19,278 - Iter 1040: obj=-2450.699236, change=1.67e-04, α=0.000, ‖θ[1:]‖₁=7.750, h_range=[4.35e+00, 2.83e+01], num_knots=1018
2025-09-07 11:45:19,381 - Iter 1050: obj=-2450.886232, change=1.60e-04, α=0.000, ‖θ[1:]‖₁=7.753, h_range=[4.35e+00, 2.83e+01], num_knots=1017
2025-09-07 11:45:19,504 - Iter 1060: obj=-2451.070404, change=1.61e-04, α=0.000, ‖θ[1:]‖₁=7.757, h_range=[4.35e+00, 2.83e+01], num_knots=1014
2025-09-07 11:45:19,630 - Iter 1070: obj=-2451.251944, change=1.60e-04, α=0.000, ‖θ[1:]‖₁=7.760, h_range=[4.34e+00, 2.83e+01], num_knots=1010
2025-09-07 11:45:19,739 - Iter 1080: obj=-2451.430934, change=1.59e-04, α=0.000, ‖θ[1:]‖₁=7.764, h_range=[4.34e+00, 2.83e+01], num_knots=1007
2025-09-07 11:45:19,882 - Iter 1090: obj=-2451.607145, change=1.57e-04, α=0.000, ‖θ[1:]‖₁=7.767, h_range=[4.34e+00, 2.83e+01], num_knots=1004
2025-09-07 11:45:19,978 - Iter 1100: obj=-2451.780897, change=1.51e-04, α=0.000, ‖θ[1:]‖₁=7.770, h_range=[4.33e+00, 2.83e+01], num_knots=1001
