2025-09-07 11:48:52,996 - ProximalAdaGrad: lam=1.0, alpha=3e-05, eps=1e-08, rho=1.0, n_grid=200, basis_order=1, n_samples=3200, K=3202
2025-09-07 11:48:53,033 - Iter   0: obj=0.000000, change=2.42e-01, α=0.000, ‖θ[1:]‖₁=2.591, h_range=[1.88e+00, 1.63e+01], num_knots=3201
2025-09-07 11:48:53,275 - Iter  10: obj=-990.407644, change=1.51e-02, α=0.000, ‖θ[1:]‖₁=10.722, h_range=[6.98e-01, 1.29e+01], num_knots=3200
2025-09-07 11:48:53,379 - Iter  20: obj=-1414.276557, change=1.45e-02, α=0.000, ‖θ[1:]‖₁=18.140, h_range=[5.03e-01, 1.23e+01], num_knots=3199
2025-09-07 11:48:53,467 - Iter  30: obj=-1692.078779, change=1.30e-02, α=0.000, ‖θ[1:]‖₁=24.532, h_range=[3.61e-01, 1.16e+01], num_knots=3200
2025-09-07 11:48:53,579 - Iter  40: obj=-1871.162380, change=1.12e-02, α=0.000, ‖θ[1:]‖₁=29.839, h_range=[2.65e-01, 1.11e+01], num_knots=3201
2025-09-07 11:48:53,673 - Iter  50: obj=-1987.006970, change=9.53e-03, α=0.000, ‖θ[1:]‖₁=34.143, h_range=[2.02e-01, 1.07e+01], num_knots=3198
2025-09-07 11:48:53,771 - Iter  60: obj=-2063.459112, change=8.03e-03, α=0.000, ‖θ[1:]‖₁=37.573, h_range=[1.61e-01, 1.03e+01], num_knots=3200
2025-09-07 11:48:53,863 - Iter  70: obj=-2115.656117, change=6.76e-03, α=0.000, ‖θ[1:]‖₁=40.267, h_range=[1.35e-01, 1.00e+01], num_knots=3201
2025-09-07 11:48:53,969 - Iter  80: obj=-2152.923417, change=5.72e-03, α=0.000, ‖θ[1:]‖₁=42.358, h_range=[1.18e-01, 9.78e+00], num_knots=3201
2025-09-07 11:48:54,067 - Iter  90: obj=-2180.905687, change=4.87e-03, α=0.000, ‖θ[1:]‖₁=43.971, h_range=[1.07e-01, 9.58e+00], num_knots=3200
2025-09-07 11:48:54,247 - Iter 100: obj=-2202.999519, change=4.18e-03, α=0.000, ‖θ[1:]‖₁=45.210, h_range=[1.00e-01, 9.42e+00], num_knots=3199
2025-09-07 11:48:54,396 - Iter 110: obj=-2221.250144, change=3.63e-03, α=0.000, ‖θ[1:]‖₁=46.163, h_range=[9.59e-02, 9.29e+00], num_knots=3198
2025-09-07 11:48:54,503 - Iter 120: obj=-2236.892447, change=3.19e-03, α=0.000, ‖θ[1:]‖₁=46.896, h_range=[9.34e-02, 9.17e+00], num_knots=3198
2025-09-07 11:48:54,632 - Iter 130: obj=-2250.689563, change=2.83e-03, α=0.000, ‖θ[1:]‖₁=47.460, h_range=[9.23e-02, 9.08e+00], num_knots=3199
2025-09-07 11:48:54,758 - Iter 140: obj=-2263.100235, change=2.54e-03, α=0.000, ‖θ[1:]‖₁=47.902, h_range=[9.20e-02, 8.99e+00], num_knots=3197
2025-09-07 11:48:54,865 - Iter 150: obj=-2274.428935, change=2.30e-03, α=0.000, ‖θ[1:]‖₁=48.250, h_range=[9.24e-02, 8.92e+00], num_knots=3199
2025-09-07 11:48:54,969 - Iter 160: obj=-2284.878008, change=2.11e-03, α=0.000, ‖θ[1:]‖₁=48.528, h_range=[9.33e-02, 8.86e+00], num_knots=3198
2025-09-07 11:48:55,068 - Iter 170: obj=-2294.579210, change=1.95e-03, α=0.000, ‖θ[1:]‖₁=48.756, h_range=[9.44e-02, 8.80e+00], num_knots=3198
2025-09-07 11:48:55,185 - Iter 180: obj=-2303.632364, change=1.83e-03, α=0.000, ‖θ[1:]‖₁=48.947, h_range=[9.58e-02, 8.75e+00], num_knots=3197
2025-09-07 11:48:55,278 - Iter 190: obj=-2312.108008, change=1.71e-03, α=0.000, ‖θ[1:]‖₁=49.115, h_range=[9.73e-02, 8.70e+00], num_knots=3196
2025-09-07 11:48:55,386 - Iter 200: obj=-2320.063218, change=1.62e-03, α=0.000, ‖θ[1:]‖₁=49.269, h_range=[9.88e-02, 8.65e+00], num_knots=3196
2025-09-07 11:48:55,502 - Iter 210: obj=-2327.553181, change=1.54e-03, α=0.000, ‖θ[1:]‖₁=49.412, h_range=[1.00e-01, 8.61e+00], num_knots=3196
2025-09-07 11:48:55,601 - Iter 220: obj=-2334.624325, change=1.47e-03, α=0.000, ‖θ[1:]‖₁=49.543, h_range=[1.02e-01, 8.57e+00], num_knots=3195
2025-09-07 11:48:55,705 - Iter 230: obj=-2341.316578, change=1.41e-03, α=0.000, ‖θ[1:]‖₁=49.667, h_range=[1.03e-01, 8.54e+00], num_knots=3196
2025-09-07 11:48:55,817 - Iter 240: obj=-2347.655647, change=1.36e-03, α=0.000, ‖θ[1:]‖₁=49.787, h_range=[1.05e-01, 8.50e+00], num_knots=3196
2025-09-07 11:48:55,944 - Iter 250: obj=-2353.665983, change=1.31e-03, α=0.000, ‖θ[1:]‖₁=49.909, h_range=[1.06e-01, 8.47e+00], num_knots=3193
2025-09-07 11:48:56,062 - Iter 260: obj=-2359.374430, change=1.27e-03, α=0.000, ‖θ[1:]‖₁=50.033, h_range=[1.07e-01, 8.44e+00], num_knots=3195
