2025-09-07 18:35:28,602 - ProximalNewtonLBFGS: lam=0.25, memory=5, n_grid=200, basis_order=2, n_samples=3200, K=3203
2025-09-07 18:35:28,799 - Iter   0: obj=0.000000, change=4.97e-01, α=0.000, ‖θ[1:]‖₁=22.930, γ=1000.000, num_knots=3202
2025-09-07 18:35:29,345 - Iter  10: obj=-1795.153860, change=3.20e-01, α=0.250, ‖θ[1:]‖₁=93.323, γ=1000.000, num_knots=3201
2025-09-07 18:35:29,876 - Iter  20: obj=-2237.560370, change=9.09e-02, α=0.500, ‖θ[1:]‖₁=127.604, γ=1000.000, num_knots=3201
2025-09-07 18:35:30,316 - Iter  30: obj=-2370.434280, change=6.93e-02, α=1.000, ‖θ[1:]‖₁=139.340, γ=1000.000, num_knots=3175
2025-09-07 18:35:30,693 - Iter  40: obj=-2436.970257, change=9.75e-02, α=0.500, ‖θ[1:]‖₁=137.009, γ=1000.000, num_knots=3134
2025-09-07 18:35:31,073 - Iter  50: obj=-2491.239251, change=4.84e-02, α=1.000, ‖θ[1:]‖₁=130.368, γ=1000.000, num_knots=2989
2025-09-07 18:35:31,476 - Iter  60: obj=-2529.347784, change=4.32e-02, α=0.500, ‖θ[1:]‖₁=123.512, γ=1000.000, num_knots=2986
2025-09-07 18:35:31,909 - Iter  70: obj=-2557.878244, change=6.14e-02, α=0.500, ‖θ[1:]‖₁=120.264, γ=1000.000, num_knots=2954
2025-09-07 18:35:32,364 - Iter  80: obj=-2581.315388, change=4.22e-02, α=0.500, ‖θ[1:]‖₁=118.843, γ=1000.000, num_knots=2931
2025-09-07 18:35:32,746 - Iter  90: obj=-2599.432843, change=3.48e-02, α=0.500, ‖θ[1:]‖₁=118.574, γ=1000.000, num_knots=2921
2025-09-07 18:35:33,145 - Iter 100: obj=-2613.910468, change=3.53e-02, α=0.500, ‖θ[1:]‖₁=118.863, γ=1000.000, num_knots=2908
2025-09-07 18:35:33,545 - Iter 110: obj=-2625.544615, change=4.42e-02, α=0.500, ‖θ[1:]‖₁=119.308, γ=1000.000, num_knots=2900
2025-09-07 18:35:33,935 - Iter 120: obj=-2636.696465, change=2.36e-02, α=1.000, ‖θ[1:]‖₁=119.618, γ=1000.000, num_knots=2877
2025-09-07 18:35:34,349 - Iter 130: obj=-2645.622775, change=2.19e-02, α=1.000, ‖θ[1:]‖₁=119.825, γ=1000.000, num_knots=2853
2025-09-07 18:35:34,754 - Iter 140: obj=-2653.335023, change=2.02e-02, α=1.000, ‖θ[1:]‖₁=119.965, γ=1000.000, num_knots=2829
2025-09-07 18:35:35,209 - Iter 150: obj=-2660.062534, change=2.49e-02, α=1.000, ‖θ[1:]‖₁=120.015, γ=1000.000, num_knots=2819
2025-09-07 18:35:35,646 - Iter 160: obj=-2665.885530, change=1.99e-02, α=0.500, ‖θ[1:]‖₁=119.591, γ=1000.000, num_knots=2815
2025-09-07 18:35:36,060 - Iter 170: obj=-2671.202496, change=1.73e-02, α=1.000, ‖θ[1:]‖₁=119.437, γ=1000.000, num_knots=2777
2025-09-07 18:35:36,513 - Iter 180: obj=-2675.969701, change=2.49e-02, α=1.000, ‖θ[1:]‖₁=119.149, γ=1000.000, num_knots=2708
2025-09-07 18:35:36,921 - Iter 190: obj=-2679.915551, change=2.75e-02, α=0.500, ‖θ[1:]‖₁=118.521, γ=1000.000, num_knots=2744
2025-09-07 18:35:37,317 - Iter 200: obj=-2684.171595, change=2.04e-02, α=1.000, ‖θ[1:]‖₁=118.039, γ=1000.000, num_knots=2691
2025-09-07 18:35:37,677 - Iter 210: obj=-2687.557554, change=2.26e-02, α=0.500, ‖θ[1:]‖₁=117.278, γ=1000.000, num_knots=2715
2025-09-07 18:35:38,074 - Iter 220: obj=-2691.078608, change=1.89e-02, α=1.000, ‖θ[1:]‖₁=116.643, γ=1000.000, num_knots=2656
2025-09-07 18:35:38,467 - Iter 230: obj=-2693.926271, change=2.25e-02, α=0.500, ‖θ[1:]‖₁=115.815, γ=1000.000, num_knots=2687
2025-09-07 18:35:38,872 - Iter 240: obj=-2697.004969, change=1.90e-02, α=1.000, ‖θ[1:]‖₁=115.057, γ=1000.000, num_knots=2529
2025-09-07 18:35:39,251 - Iter 250: obj=-2699.486218, change=2.13e-02, α=0.500, ‖θ[1:]‖₁=114.180, γ=1000.000, num_knots=2660
